Location,Area,Block,Phase,Sector
"E-11/2, E-11",E-11,,,E-11/2
"PHAF Officers Residencia, Kuri Road",PHAF Officers Residencia,,,
"D-12/4, D-12",D-12,,,D-12/4
"Jinnah Gardens Phase 1, Jinnah Gardens",Jinnah Gardens Phase 1,,,
"F-11 Markaz, F-11",F-11,,,F-11
"DHA Phase 1 - Sector F, DHA Defence Phase 1",DHA Phase 1,,"Sector F, DHA Defence Phase 1",
"F-11, Islamabad",,,,F-11
"Soan Garden, Islamabad",Soan Garden,,,
"Jinnah Gardens Phase 1, Jinnah Gardens",Jinnah Gardens Phase 1,,,
"G-13/3, G-13",G-13,,,G-13/3
"DHA Defence Phase 3, DHA Defence",DHA Defence Phase 3,,,
"F-8, Islamabad",,,,F-8
"Defence Residency, DHA Defence Phase 2",Defence Residency,,,
"Askari Tower 1, DHA Defence Phase 2",Askari Tower 1,,,
"DHA Phase 5 - Sector F, DHA Defence Phase 5",DHA Phase 5,,"Sector F, DHA Defence Phase 5",
"Defence Residency, DHA Defence Phase 2",Defence Residency,,,
"Bahria Enclave - Sector A, Bahria Enclave",Bahria Enclave,,,
"Bahria Enclave, Bahria Town",Bahria Enclave,,,
"Bahria Enclave, Bahria Town",Bahria Enclave,,,
"Bahria Enclave - Sector A, Bahria Enclave",Bahria Enclave,,,
"Mumtaz City - Chanab Block, Mumtaz City",Mumtaz City,"Chanab Block, Mumtaz City",,
"MPCHS - Multi Gardens, B-17",MPCHS,,,B-17
"MPCHS - Multi Gardens, B-17",MPCHS,,,B-17
"MPCHS - Block E, MPCHS - Multi Gardens",MPCHS,"Block E, MPCHS",,
"MPCHS - Multi Gardens, B-17",MPCHS,,,B-17
"National Police Foundation O-9, Islamabad",,,,O-9
"F-8/1, F-8",F-8,,,F-8/1
"Sukh Chayn Residence, F-10",F-10,,,F-10
"Soan Garden - Block E, Soan Garden",Soan Garden,"Block E, Soan Garden",,
"Soan Garden - Block H, Soan Garden",Soan Garden,"Block H, Soan Garden",,
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"Gulshan-e-Sehat 1, E-18",E-18,,,E-18
"I-11/1, I-11",I-11,,,I-11/1
"Askari Tower 4, DHA Defence Phase 5",Askari Tower 4,,,
"Bahria Enclave - Sector C, Bahria Enclave",Bahria Enclave,,,
"Bani Gala, Islamabad",Bani Gala,,,
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"Jinnah Gardens Phase 1, Jinnah Gardens",Jinnah Gardens Phase 1,,,
"Jinnah Gardens Phase 1, Jinnah Gardens",Jinnah Gardens Phase 1,,,
"I-10/4, I-10",I-10,,,I-10/4
"DHA Phase 3 - Block E, DHA Defence Phase 3",DHA Phase 3,"Block E, DHA Defence Phase 3",,
"D-12, Islamabad",,,,D-12
"D-12, Islamabad",,,,D-12
"D-12, Islamabad",,,,D-12
"D-12, Islamabad",,,,D-12
"The Centaurus, F-8",F-8,,,F-8
"Sukh Chayn Residence, F-10",F-10,,,F-10
"Bani Gala, Islamabad",Bani Gala,,,
"Capital Residencia, Margalla Hills-2",Capital Residencia,,,
"Silver Oaks Apartments, F-10",F-10,,,F-10
"Madina Tower, E-11",E-11,,,E-11
"Defence Residency, DHA Defence Phase 2",Defence Residency,,,
"G-13/1, G-13",G-13,,,G-13/1
"Mumtaz City, Islamabad",Mumtaz City,,,
"Airport Enclave, Islamabad",Airport Enclave,,,
"G-15, Islamabad",,,,G-15
"G-15/4, G-15",G-15,,,G-15/4
"Park View City - Downtown Block, Park View City",Park View City,"Downtown Block, Park View City",,
"Lignum Tower, DHA Defence Phase 2",Lignum Tower,,,
"Defence Executive Apartments, DHA Defence Phase 2",Defence Executive Apartments,,,
"Tarlai, Islamabad",Tarlai,,,
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"Gulberg Residencia - Block L, Gulberg Residencia",Gulberg Residencia,"Block L, Gulberg Residencia",,
"Gulberg Residencia - Block J, Gulberg Residencia",Gulberg Residencia,"Block J, Gulberg Residencia",,
"Gulberg Residencia - Block L, Gulberg Residencia",Gulberg Residencia,"Block L, Gulberg Residencia",,
"D-12, Islamabad",,,,D-12
"D-12/3, D-12",D-12,,,D-12/3
"D-12/3, D-12",D-12,,,D-12/3
"Top City 1 - Block A, Top City 1",Top City 1,"Block A, Top City 1",,
"Top City 1 - Block D, Top City 1",Top City 1,"Block D, Top City 1",,
"E-11/4, E-11",E-11,,,E-11/4
"MPCHS - Block A, MPCHS - Multi Gardens",MPCHS,"Block A, MPCHS",,
"The Centaurus, F-8",F-8,,,F-8
"MPCHS - Block F, MPCHS - Multi Gardens",MPCHS,"Block F, MPCHS",,
"Cube Apartments, Bahria Enclave",Cube Apartments,,,
"Bahria Enclave - Sector G, Bahria Enclave",Bahria Enclave,,,
"Bahria Enclave - Sector C1, Bahria Enclave",Bahria Enclave,,,
"G-15/2, G-15",G-15,,,G-15/2
"Zarkon Heights, G-15",G-15,,,G-15
"G-15/2, G-15",G-15,,,G-15/2
"G-13 Markaz, G-13",G-13,,,G-13
"G-11/1, G-11",G-11,,,G-11/1
"Gulberg Residencia - Block C, Gulberg Residencia",Gulberg Residencia,"Block C, Gulberg Residencia",,
"MPCHS - Block F, MPCHS - Multi Gardens",MPCHS,"Block F, MPCHS",,
