Location,Area,Block,Phase,Sector
"I-16/3, I-16",I-16,,,I-16/3
"I-16/3, I-16",I-16,,,I-16/3
"D-12, Islamabad",,,,D-12
"Faisal Margalla City, B-17",B-17,,,B-17
"MPCHS - Multi Gardens, B-17",MPCHS,,,B-17
"I-8/2, I-8",I-8,,,I-8/2
"D-12/4, D-12",D-12,,,D-12/4
"Askari Tower 3, DHA Defence Phase 5",Askari Tower 3,,,
"DHA Phase 2 - Sector J, DHA Defence Phase 2",DHA Phase 2,,"Sector J, DHA Defence Phase 2",
"Top City 1 - Block A, Top City 1",Top City 1,"Block A, Top City 1",,
"Gulberg Greens, Gulberg",Gulberg Greens,,,
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"F-10, Islamabad",,,,F-10
"F-10, Islamabad",,,,F-10
"MPCHS - Block F, MPCHS - Multi Gardens",MPCHS,"Block F, MPCHS",,
"Capital Residencia, Margalla Hills-2",Capital Residencia,,,
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"MPCHS - Multi Gardens, B-17",MPCHS,,,B-17
"DHA Phase 2 - Sector A, DHA Defence Phase 2",DHA Phase 2,,"Sector A, DHA Defence Phase 2",
"DHA Defence Phase 5, DHA Defence",DHA Defence Phase 5,,,
"I-16/3, I-16",I-16,,,I-16/3
"I-16/3, I-16",I-16,,,I-16/3
"I-16/3, I-16",I-16,,,I-16/3
"G-13, Islamabad",,,,G-13
"F-7, Islamabad",,,,F-7
"F-10, Islamabad",,,,F-10
"F-10, Islamabad",,,,F-10
"Grand Orchard, DHA Defence Phase 1",Grand Orchard,,,
"DHA Defence Phase 1, DHA Defence",DHA Defence Phase 1,,,
"E-11/2, E-11",E-11,,,E-11/2
"D-12/1, D-12",D-12,,,D-12/1
"MPCHS - Block C, MPCHS - Multi Gardens",MPCHS,"Block C, MPCHS",,
"F-11/1, F-11",F-11,,,F-11/1
"G-14/4, G-14",G-14,,,G-14/4
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"G-9/3, G-9",G-9,,,G-9/3
"DHA Defence Phase 5, DHA Defence",DHA Defence Phase 5,,,
"F-10, Islamabad",,,,F-10
"F-10, Islamabad",,,,F-10
"The Centaurus, F-8",F-8,,,F-8
"Gulberg Residencia - Block A, Gulberg Residencia",Gulberg Residencia,"Block A, Gulberg Residencia",,
"Bahria Enclave - Sector A, Bahria Enclave",Bahria Enclave,,,
"11 Central Apartments, G-11/1",G-11/1,,,G-11/1
"Bani Gala, Islamabad",Bani Gala,,,
"Bahria Enclave - Sector H, Bahria Enclave",Bahria Enclave,,,
"I-12/1, I-12",I-12,,,I-12/1
"Park View City - Downtown Block, Park View City",Park View City,"Downtown Block, Park View City",,
"I-12/1, I-12",I-12,,,I-12/1
"I-12/1, I-12",I-12,,,I-12/1
"I-12/1, I-12",I-12,,,I-12/1
"I-12/1, I-12",I-12,,,I-12/1
"I-12/1, I-12",I-12,,,I-12/1
"I-11/2, I-11",I-11,,,I-11/2
"Top City 1 - Block I, Top City 1",Top City 1,"Block I, Top City 1",,
"Top City 1 - Block I, Top City 1",Top City 1,"Block I, Top City 1",,
"Top City 1 - Block I, Top City 1",Top City 1,"Block I, Top City 1",,
"Defence Residency, DHA Defence Phase 2",Defence Residency,,,
"Gulberg Heights, Gulberg Greens",Gulberg Heights,,,
"F-11, Islamabad",,,,F-11
"Naval Anchorage, Islamabad",Naval Anchorage,,,
"Gulberg Residencia - Block F, Gulberg Residencia",Gulberg Residencia,"Block F, Gulberg Residencia",,
"G-9/4, G-9",G-9,,,G-9/4
"F-10, Islamabad",,,,F-10
"F-10, Islamabad",,,,F-10
"Park View - Block H, Park View City",Park View,"Block H, Park View City",,
"Park View City, Islamabad",Park View City,,,
"Elysium Mall, Blue Area",Elysium Mall,,,
"Capital Residencia, Margalla Hills-2",Capital Residencia,,,
"Defence Residency, DHA Defence Phase 2",Defence Residency,,,
"Bahria Enclave - Sector N, Bahria Enclave",Bahria Enclave,,,
"DHA Phase 2 - Sector B, DHA Defence Phase 2",DHA Phase 2,,"Sector B, DHA Defence Phase 2",
"DHA Phase 2 - Sector D, DHA Defence Phase 2",DHA Phase 2,,"Sector D, DHA Defence Phase 2",
"DHA Phase 2 - Sector J, DHA Defence Phase 2",DHA Phase 2,,"Sector J, DHA Defence Phase 2",
"Gulberg Greens, Gulberg",Gulberg Greens,,,
"Bahria Enclave - Sector C1, Bahria Enclave",Bahria Enclave,,,
"F-7, Islamabad",,,,F-7
"F-7, Islamabad",,,,F-7
