Title,Location,Beds,Baths,Area (Marla),Price (PKR),Price Per Marla
Two Bed Apartment In Luxus Mall And Residency Is Available For Sale,"Luxus Mall and Residency, Gulberg Greens - Block B",2.0,2.0,4.5,18000000.0,4000000.0
House For Sale,"I-10, Islamabad",5.0,5.0,6.0,38000000.0,6333333.333333333
House For Sale,"I-10, Islamabad",5.0,4.0,6.0,39000000.0,6500000.0
House For Sale,"I-10, Islamabad",7.0,6.0,5.0,43000000.0,8600000.0
"Charming 5 Marla Designer Home With Mountain Views, Prime Location In B17/FMC Society","B-17, Islamabad",5.0,5.0,5.0,35000000.0,7000000.0
BRAND NEW HOUSE FOR SALE,"I-14/1, I-14",6.0,6.0,7.0,36000000.0,5142857.142857143
Designer House For Sale,"B-17, Islamabad",6.0,6.0,10.1,60000000.0,5940594.059405941
Designer House For Sale,"MPCHS - Block B, MPCHS - Multi Gardens",6.0,6.0,14.0,68000000.0,4857142.857142857
Designer House for Sale,"MPCHS - Block C1, MPCHS - Multi Gardens",5.0,5.0,10.0,57500000.0,5750000.0
Three Bed Flat For Sale,"E-11/4, E-11",3.0,3.0,6.7,20000000.0,2985074.6268656715
Two bed furnished flat for sale,"E-11, Islamabad",2.0,2.0,4.4,12500000.0,2840909.090909091
House For Sale,"I-10, Islamabad",5.0,4.0,6.0,38000000.0,6333333.333333333
House For Sale,"I-10, Islamabad",7.0,7.0,6.0,49000000.0,8166666.666666667
House For Sale In Islamabad Valley British Homes I-13 Islamabad ( I J P )Road,"British Homes Colony, I-13",6.0,6.0,10.0,38000000.0,3800000.0
Luxurious 7-Bedroom House For Sale On Prime Location,"F-7, Islamabad",7.0,6.0,50.0,450000000.0,9000000.0
Specious 666 Sq Yard 60x100 House For Sale In F-7 Prime Location,"F-7, Islamabad",6.0,6.0,26.0,290000000.0,11153846.153846154
Luxurious 6 Bedroom House For Sale In Prime Location,"F-7, Islamabad",6.0,6.0,40.0,450000000.0,11250000.0
Investor Price House Available For Sale F7,"F-7/3, F-7",10.0,,80.0,800000000.0,10000000.0
L Blook 7 Marla Double Storey Brand New House,"Gulberg Residencia - Block L, Gulberg Residencia",4.0,5.0,7.0,38000000.0,5428571.428571428
Brand New Five Marla House Available for Sale in Bahria Enclave Islamabad,"Bahria Enclave, Bahria Town",3.0,5.0,5.0,28500000.0,5700000.0
5 Marla Brand New Double Story House Available For Sale In Executive Block Faisal Hills Islamabad,"Faisal Hills - Executive Block, Faisal Hills",4.0,4.0,5.0,19800000.0,3960000.0
8 Marla Brand New House Available For Sale in Faisal Town phase 1 of Block A islamabad pakistan,"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",5.0,6.0,8.0,36000000.0,4500000.0
Highly-coveted Prime Location 1 Kanal House Is Available In Soan Garden - Block F For sale,"Soan Garden - Block F, Soan Garden",6.0,6.0,20.0,72500000.0,3625000.0
G-11/4 PHA 2 Bed Apartment Sized 700 Square Feet Is Available For sale,"G-11/4, G-11",2.0,2.0,3.1,15500000.0,5000000.0
2 Bed Apartment Is Available For Sale In DHA Defence Phase 2,"El Cielo, GT Road",2.0,2.0,4.2,13000000.0,3095238.095238095
2-Bed Apartment for Sale in Skypark One,"Skypark One, Gulberg Greens",2.0,2.0,7.7,35000000.0,4545454.545454545
2-Bed 1075 Sq. ft curved layout Apartment For Sale In Zarkon Heights Islamabad,"Zarkon Heights, G-15",2.0,2.0,4.8,15000000.0,3125000.0
4 Marla (25x40) New House For Sale G-13/4 Islamabad,"G-13/4, G-13",4.0,5.0,4.0,39000000.0,9750000.0
14 Marla (40x80) Royal House For Sale In G-13 Isalamabad,"G-13, Islamabad",7.0,7.0,14.0,110000000.0,7857142.857142857
5 Marla (25x50) Royal Design House For Sale G-14/4 Islamabad,"G-14/4, G-14",5.0,5.0,5.0,49500000.0,9900000.0
"BRAND NEW HOUSE FOR SALE IN G,1/4","G-14, Islamabad",5.0,5.0,10.9,65000000.0,5963302.752293577
House For Sale Situated In F-7,"F-7, Islamabad",10.0,10.0,26.0,320000000.0,12307692.307692308
Brand New House For Sale In F7,"F-7, Islamabad",8.0,9.0,40.0,380000000.0,9500000.0
Beautiful House With Garden,"F-8, Islamabad",6.0,6.0,26.0,240000000.0,9230769.23076923
Pearl Signature Villas In Park View City Islamabad Pre-Launch Rates,"Park View - Block J, Park View City",6.0,7.0,26.0,135000000.0,5192307.692307692
Margalla Face 1400 Square Feet 2bed Unfurnished Apartment Available For Sale In Capital Residencia E11 Islamabad,"Capital Residencia, Margalla Hills-2",2.0,2.0,6.2,18500000.0,2983870.9677419355
BRAND NEW HOUSE FOR SALE,"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",6.0,6.0,10.0,41000000.0,4100000.0
Corner & ; Boulevard Grey Structure Are Available For Sale.,"Bahria Enclave - Sector F, Bahria Enclave",4.0,5.0,12.0,42500000.0,3541666.6666666665
Prime Location House For Sale,"F-8, Islamabad",5.0,5.0,20.0,225000000.0,11250000.0
"Luxurious Mansion For Sale In F-8 Sector - Prime Location, Exclusive Features","F-8, Islamabad",8.0,6.0,80.0,650000000.0,8125000.0
Magnificent 10-Bed Residence In Prime F-8 Location - CDA Transfer,"F-8, Islamabad",10.0,,40.0,300000000.0,7500000.0
House For Sale With Extra Land,"F-8, Islamabad",6.0,6.0,26.0,260000000.0,10000000.0
Prime Location House For Sale,"F-10, Islamabad",5.0,5.0,20.0,180000000.0,9000000.0
Prime Location Golden Opportunity!,"MPCHS - Block F, MPCHS - Multi Gardens",3.0,4.0,5.5,23000000.0,4181818.1818181816
Lush Luxury House Is Available For Sale In B-17,"MPCHS - Multi Gardens, B-17",6.0,6.0,20.0,90000000.0,4500000.0
Furnished Studio Apartment For Sale At Gulberg Heights Islamabad,"Gulberg Heights, Gulberg Greens",,1.0,2.4,7200000.0,3000000.0
G-13 40x80 Brand new double story Luxury House,"G-13, Islamabad",6.0,6.0,14.0,105000000.0,7500000.0
10 Marla Brand New House For Sale,"E-16/3, E-16",6.0,6.0,10.0,32500000.0,3250000.0
Elan Square Two Bed Apartment Is Available For Sale In New Blue Area,"New Blue Area, Islamabad",2.0,2.0,7.1,67200000.0,9464788.732394367
Flat Of 2019 Square Feet Is Available For sale,"The Centaurus, F-8",2.0,2.0,9.0,100000000.0,11111111.111111112
12 Marla (Marla Size 272) Investor Rate Double Storey House For Sale Shahpur Bhara Kahu Islamabad,"Bhara kahu, Islamabad",6.0,6.0,12.0,31000000.0,2583333.3333333335
3250 Square Feet 3 Bedroom Flat Available For Sale In F11 Islamabad,"F-11, Islamabad",3.0,3.0,14.4,41000000.0,2847222.222222222
One (1) Bed Flat (Apartment) Available For Sale In Gulberg Green Islamabad Pakistan,"Gulberg Greens, Gulberg",1.0,1.0,2.7,7000000.0,2592592.5925925924
Defence Villa For Sale,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",3.0,4.0,11.0,36000000.0,3272727.272727273
Fully Furnished 3 Bed Apartment For Sale In The Galleria Apartments Bahria Enclave Islamabad,"Bahria Enclave, Bahria Town",3.0,3.0,7.5,17500000.0,2333333.3333333335
Cube Studio Apartment For Sale,"Cube Apartments, Bahria Enclave",,1.0,2.8,6300000.0,2250000.0
Specious Brand New Villa Available In Sector G,"Bahria Enclave - Sector G, Bahria Enclave",5.0,6.0,8.0,35000000.0,4375000.0
