Title,Location,Beds,Baths,Area (Marla),Price (PKR),Price Per Marla
Luxurious 3-Bed Apartment for Sale in Askari Tower 3 DHA 5,"Askari Tower 3, DHA Defence Phase 5",3.0,,11.8,30500000.0,2584745.7627118644
1 Kanal House Near Islamabad Expressway,"DHA Phase 5 - Sector B, DHA Defence Phase 5",5.0,6.0,20.0,82500000.0,4125000.0
Dha 2 One Kanal Brand New Designer House Prime Location Of Dha2,"DHA Defence Phase 2, DHA Defence",5.0,6.0,20.0,139000000.0,6950000.0
Fully Furnished Newly Renovated 3 Bedroom Apartment For Sale In Diplomatic Enclave Islamabad,"Diplomatic Enclave, Islamabad",3.0,3.0,7.1,55000000.0,7746478.873239437
Diplomatic enclaves Luxurious 3-Bedroom Fully Furnished Corner Apartment for Sale in Karakoram Diplomatic Enclave,"Karakoram Diplomatic Enclave, Islamabad",3.0,4.0,11.8,132500000.0,11228813.559322033
"Diplomatic enclave : Prime Investment Opportunity Fully Furnished 2-Bed Apartment in Diplomatic Enclave, Islamabad","Diplomatic Enclave, Islamabad",2.0,2.0,8.9,76000000.0,8539325.84269663
"Luxury 2-Bedroom Apartment For Sale In Diplomatic Enclave, Islamabad","Diplomatic Enclave, Islamabad",2.0,2.0,7.6,60000000.0,7894736.842105264
Fully Renovated House For Sale In F-6/1,"F-6, Islamabad",6.0,6.0,17.8,310000000.0,17415730.33707865
One Bedroom Furnished Apartment Murree Facing Ready For Possession Apartments Available,"Bahria Enclave - Sector G, Bahria Enclave",1.0,1.0,1.6,5500000.0,3437500.0
Affordable 1 Bedroom Apartment For Sale In Bahria Enclave Islamabad 477 Square Feet Prime Location,"Bahria Enclave - Sector G, Bahria Enclave",1.0,1.0,2.1,7000000.0,3333333.333333333
G-13 35x70 Brand New Double Story Luxury House,"G-13, Islamabad",6.0,6.0,10.0,90000000.0,9000000.0
One Bed Apartment In Gulberg Greens Islamabad,"Gulberg Greens, Gulberg",1.0,1.0,1.9,7350000.0,3868421.0526315793
7 Marla House For Sale,"Faisal Town - F-18, Islamabad",5.0,6.0,8.0,35000000.0,4375000.0
Brand New Designer House For Sale,"DHA Phase 2 - Sector G, DHA Defence Phase 2",5.0,6.0,20.0,125000000.0,6250000.0
1 Kanal Designer House For Sale At Peak Location In DHA-2,"DHA Defence Phase 2, DHA Defence",5.0,5.0,20.0,85000000.0,4250000.0
Designer+Corner House Available for sale in Multi Garden B-17 Islamabad,"MPCHS - Block C1, MPCHS - Multi Gardens",5.0,5.0,10.0,57000000.0,5700000.0
23 Kanal Farm House Available For Sale,"Naval Farms Housing Scheme, Islamabad",7.0,6.0,460.0,280000000.0,608695.6521739131
G-11/3 Warda Hamna 3 3 Bed Apartment Available For Sale,"Warda Hamna Residencia 3, G-11/3",3.0,3.0,8.9,49000000.0,5505617.97752809
"Brand New 3 Bed Apartment Available For Sale In The Heart Of Islamabad, All Facilities Available","Sukh Chayn Residence, F-10",3.0,3.0,9.0,89000000.0,9888888.888888888
Sector B1 New House Bahria Enclave,"Bahria Enclave, Bahria Town",5.0,6.0,8.0,41000000.0,5125000.0
1 Kanal Furnished House 5 Bedrooms For Sale At DHA Phase 2,"DHA Defence Phase 2, DHA Defence",5.0,6.0,20.0,119000000.0,5950000.0
7 Bedroom House Available For Sale In DHA Phase 1 Sector E,"DHA Phase 1 - Sector E, DHA Defence Phase 1",7.0,6.0,20.0,80000000.0,4000000.0
1 KANAL 5 BEDROOM HOUSE AVAILABLE FOR SALE,"DHA Defence Phase 1, DHA Defence",5.0,6.0,20.0,104000000.0,5200000.0
7 Marla Double Storey Brand New House For Sale G15.4 Islamabad,"G-15/4, G-15",5.0,6.0,7.0,35000000.0,5000000.0
Prime Location 10marla 5bedrooms Brand New House For Sale In Bahria Enclave Islamabad Sector C1,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,5.0,10.0,56500000.0,5650000.0
Outstanding Location 10marla 5bedrooms Brand New House For Sale In Bahria Enclave Islamabad Sector C1,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,5.0,10.0,59000000.0,5900000.0
The Galleria 3bedrooms Diamond Category Apartment Available For Sale in Bahria Enclave Islamabad,"Bahria Enclave, Bahria Town",3.0,3.0,10.9,22000000.0,2018348.623853211
Top City 10 Marla House For Sale,"Top City 1, Islamabad",5.0,7.0,10.0,41500000.0,4150000.0
"Fully Furnished 1Bed Apartment 2nd Floor, Doha Emporium FMC Plaza, FaisalMargallaCity (adjacent to B17), Islamabad","MPCHS - Multi Gardens, B-17",1.0,1.0,2.1,7000000.0,3333333.333333333
Single Story House For Sale on Reasonable Price. . .,"H-13, Islamabad",2.0,2.0,3.0,6500000.0,2166666.6666666665
Fully Furnished Flat for Sale in The Centaurus Islamabad,"The Centaurus, F-8",2.0,4.0,9.0,100000000.0,11111111.111111112
2 Bed 1195 Square Feet Corner Flat For Sale In NORA Residence,"NORA Residences, GT Road",2.0,2.0,5.3,11100000.000000002,2094339.6226415099
Corner 1 Kanal Furnished House Near Islamabad Expressway,"DHA Defence Phase 2, DHA Defence",5.0,6.0,20.0,107500000.0,5375000.0
Prime Location 4 Marla House For sale In Rs. 39000000 Only,"G-14/4, G-14",4.0,5.0,4.0,39000000.0,9750000.0
Corner House,"G-9/3, G-9",7.0,6.0,14.0,175000000.0,12500000.0
Defense Villa For Sale,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",3.0,4.0,11.0,38000000.0,3454545.4545454546
Beautiful House for Sale,"DHA Defence Phase 2, DHA Defence",5.0,6.0,20.0,125000000.0,6250000.0
"G-13/4 70 FeeT Road Brand New 500 Yards Architect Design Double Story House 6 Master Bedrooms Attached Stylish Bathrooms Two Drawing Dining Two TV Lounge Two American Style Kitchen , Store Two Servant Quarter HUGE LUSH GREEN LAWN With EXTRA LAND Reasonable Price","G-13, Islamabad",7.0,7.0,20.0,165000000.0,8250000.0
"8 Marla House For Sale In Multi Gardens B-17, MPCHS Islamabad","MPCHS - Multi Gardens, B-17",5.0,6.0,8.0,25000000.0,3125000.0
House For Sale Reasonable Price G-13/3 Islamabad,"G-13/3, G-13",5.0,6.0,7.0,57000000.0,8142857.142857143
Gulberg Green 10 Kanal Corner Fully Develop And Constructed Farm House,"Gulberg, Islamabad",8.0,6.0,200.0,750000000.0,3750000.0
Ideal House For sale In G-9/3,"G-9/3, G-9",7.0,4.0,10.0,80000000.0,8000000.0
Prime Location 1 Kanal House Available For Sale In DHA Phase 2 - Sector H,"DHA Phase 2 - Sector H, DHA Defence Phase 2",6.0,6.0,20.0,125000000.0,6250000.0
"Beautiful Corner 2 Bed Flat CDA Approved , Gas Installed","D-17, Islamabad",2.0,2.0,3.8,5200000.0,1368421.052631579
Boulevad Catagory 8 Marla Brand New Park Face Ready to Move Home Available For Sale,"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",3.0,3.0,8.0,15500000.0,1937500.0
E-7 ULTRA MODERN DESIGN HOUSE,"E-7, Islamabad",6.0,6.0,32.0,720000000.0,22500000.0
F-8/3 Demolish Able House For Sale,"F-8, Islamabad",4.0,,36.0,300000000.0,8333333.333333333
Fully Furnished House For Sale,"F-7, Islamabad",6.0,6.0,26.0,480000000.0,18461538.46153846
400 Square Yards House In F-6,"F-6, Islamabad",9.0,6.0,16.0,360000000.0,22500000.0
F-8 Brand New House For Sale,"F-8, Islamabad",6.0,,36.0,660000000.0,18333333.333333332
E-7 House For Sale Demolish Able House,"E-7, Islamabad",4.0,5.0,38.0,700000000.0,18421052.63157895
10 Marla House For Sale University Town Islamabad,"University Town, Islamabad",5.0,5.0,10.0,32000000.0,3200000.0
House For Sale In Sector C-1 Best Location For Living 5 Bedroom With Attach Bath Near To Main Entrance Bahria Enclave Islamabad,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,6.0,10.0,44000000.0,4400000.0
Prime Location House Available For Sale In F8,"F-8, Islamabad",8.0,,72.0,600000000.0,8333333.333333333
B-17 II 5 Marla Luxury House II For Sale,"B-17, Islamabad",5.0,5.0,5.0,25000000.0,5000000.0
FMC II 5 Marla Luxury House II For Sale II Best Location Near to MDR,"Faisal Margalla City, B-17",4.0,4.0,5.0,24000000.0,4800000.0
B-17 II 10 Marla Luxury House II For Sale II Best Location Near to MDR,"B-17, Islamabad",5.0,5.0,10.0,60000000.0,6000000.0
7 Marla Used House For Sale In F-17 Islamabad,"F-17, Islamabad",5.0,6.0,7.0,21000000.0,3000000.0
Apartments For Sale On Prime Location,"Bahria Enclave - Sector C1, Bahria Enclave",2.0,2.0,4.7,15000000.0,3191489.3617021274
FRONT /BACK OPEN 9 Marla HOUSE AVAILABLE FOR SALE,"Bahria Enclave - Sector C3, Bahria Enclave",4.0,5.0,9.0,42500000.0,4722222.222222222
7 Marla House For Sale In Rs. 33000000 Only,"Jinnah Gardens, FECHS",5.0,6.0,7.0,33000000.0,4714285.714285715
"MALL OF ISLAMABAD (1874 Sq. Ft) 18th ,Floor Ready For Position","Mall of Islamabad, Blue Area",2.0,3.0,8.3,85000000.0,10240963.855421687
Brand New House For Sale In Top City-1 Islamabad,"Top City 1 - Block A, Top City 1",5.0,6.0,10.0,38500000.0,3850000.0
BRAND NEW HOUSE FOR SALE IN F-11/2,"F-11, Islamabad",9.0,7.0,24.0,320000000.0,13333333.333333334
"2 BEDROOM FLAT FOR SALE IN G-15 MARKAZ, ISLAMABAD.","G-15 Markaz, G-15",2.0,2.0,2.7,6000000.0,2222222.222222222
One Bed Apartment In Sector A Urban Boulevard For Sale At Reasonable Price,"Bahria Enclave, Bahria Town",1.0,1.0,2.4,5800000.0,2416666.666666667
Spacious 1 Bed Room Apartment For Sale In Bahria Enclave Sector C1,"Bahria Enclave - Sector C1, Bahria Enclave",1.0,1.0,2.2,7500000.0,3409090.9090909087
Sector A Brand New One Bed Apartment For Sale In Bahria Enclave Islamabad,"Bahria Enclave - Sector A, Bahria Enclave",1.0,1.0,2.2,6200000.0,2818181.818181818
House For Sale In F-7/2,"F-7, Islamabad",4.0,5.0,72.0,810000000.0,11250000.0
F-7/3 House For Sale Prime Location,"F-7/3, F-7",4.0,,28.0,400000000.0,14285714.285714285
Apartment For Sale In Mall Of Islamabad,"Mall of Islamabad, Blue Area",2.0,3.0,10.6,120000000.0,11320754.716981132
Brand New Luxury House For Sale In F-7 On Prime Location,"F-7, Islamabad",7.0,6.0,26.0,550000000.0,21153846.153846152
Multi Gardens F Block 5 Marla Homes Brand New For Sale In B 17 Islamabad,"MPCHS - Block F, MPCHS - Multi Gardens",5.0,5.0,5.0,21500000.0,4300000.0
House For sale In Islamabad,"Bahria Enclave, Bahria Town",5.0,6.0,10.0,42000000.0,4200000.0
Prime Location 14 Marla House For Grabs In I-8,"I-8/3, I-8",6.0,6.0,14.0,165000000.0,11785714.285714285
Become Owner Of Your Prime Location House Today Which Is Centrally Located In Top City 1 In Top City 1,"Top City 1, Islamabad",5.0,6.0,10.0,49900000.0,4990000.0
Brand New Beautiful House,"Top City 1, Islamabad",4.0,6.0,10.0,51500000.0,5150000.0
"Luxury Semi Furnished , Ready to move in 10 Marla Villa with extra land In Eighteen Available","Eighteen, Kashmir Highway",4.0,5.0,10.0,62000000.0,6200000.0
F-11/4 Dead End Street Storey House For Sale,"F-11/4, F-11",5.0,6.0,20.0,170000000.0,8500000.0
Buy A Centrally Located Prime Location 10 Marla House In B-17,"B-17, Islamabad",5.0,5.0,10.0,52000000.0,5200000.0
F-11 Investor Price 2 Bed Apartment Available For Sale,"Executive Heights, F-11",2.0,2.0,5.8,31500000.0,5431034.482758621
Farm House Available For Sale,"Sehala Farm House, Islamabad",7.0,3.0,1760.0,265000000.0,150568.18181818182
New House For Sale Top City 1,"Top City 1 - Block B, Top City 1",9.0,6.0,20.0,80000000.0,4000000.0
10 Marla Park Face Brand New House For Sale In Top City-1 Islamabad,"Top City 1 - Block D, Top City 1",6.0,6.0,10.0,40000000.0,4000000.0
35X70 Brand New House For Sale,"G-13, Islamabad",7.0,6.0,10.0,91000000.0,9100000.0
Beautiful 10 Marla Park Facing House for Sale in Bahria Enclave Sector C2 Islamabad,"Bahria Enclave - Sector C2, Bahria Enclave",5.0,6.0,10.0,60000000.0,6000000.0
Gulbarg Residential 7 Marla Double Storey Brand New House,"Gulberg Residencia - Block F, Gulberg Residencia",4.0,5.0,7.0,43000000.0,6142857.142857143
Brand New House For Sale,"Soan Garden, Islamabad",5.0,6.0,8.0,30000000.0,3750000.0
Brand New House For Sale,"Soan Garden, Islamabad",5.0,6.0,7.0,29000000.0,4142857.1428571427
Corner House For Sale,"Soan Garden, Islamabad",5.0,4.0,3.0,17500000.0,5833333.333333333
Multi Gardens F Block 5 Marla Homes Design Home For Sale In B17 Islamabad,"MPCHS - Block F, MPCHS - Multi Gardens",5.0,5.0,5.0,23000000.0,4600000.0
1-Bedroom Apartment | 3rd Floor | Excellent Investment Opportunity | Zarkon Heights Islamabad,"Zarkon Heights, G-15",1.0,1.0,2.8,10000000.0,3571428.571428572
Dha2 1.5 kanal Brand new Luxurious Designer Full furnished House,"DHA Defence Phase 2, DHA Defence",6.0,6.0,30.0,180000000.0,6000000.0
"2-Bedroom Apartment For Sale In G-15 Markaz, Islamabad 572 Sq. Ft.","G-15 Markaz, G-15",2.0,2.0,2.5,5200000.0,2080000.0
14 Marla Double Unit House For Sale In G-15/1 Islamabad Prime Location,"G-15/1, G-15",6.0,6.0,14.0,55000000.0,3928571.4285714286
"HOT PROPERTY IN ISLAMABAD, PAKISTAN","G-15 Markaz, G-15",2.0,2.0,2.7,6700000.0,2481481.4814814813
YOUR DREAM HOME,"Soan Garden - Block B, Soan Garden",8.0,6.0,20.0,72500000.0,3625000.0
National Police Foundation Block C USE HOUSE FOR SALE,"National Police Foundation O-9 - Block C, National Police Foundation O-9",6.0,6.0,14.0,40000000.0,2857142.8571428573
666 sq/yds House For Sale,"F-7, Islamabad",6.0,6.0,26.0,360000000.0,13846153.846153846
Main Boulevard 2 Kanal House For Sale,"F-7/2, F-7",5.0,6.0,40.0,530000000.0,13250000.0
3200 Square Feet House For sale In Rs. 93000000 Only,"G-9/3, G-9",,,14.2,93000000.0,6549295.774647888
Reserve A House Of 666 Square Yards Now In F-10/2,"F-10/2, F-10",,,26.0,180000000.0,6923076.923076923
Diplomatic Enclave Two Bed Fully Furnished Apartment Available For Sale In Islamabad,"Diplomatic Enclave, Islamabad",2.0,3.0,8.9,75500000.0,8483146.06741573
AN OUTSTANDING APARTMENT AVAILABLE FOR SALE IN E-11 ISLAMABAD,"E-11, Islamabad",1.0,1.0,2.2,8500000.0,3863636.3636363633
F-11 Markaz 2 Bedroom Luxury Furnished Apartment Available For Sale,"F-11, Islamabad",2.0,2.0,9.4,28000000.0,2978723.404255319
5 Marla Modern Design Single Unit Double Storey House Available For Sale In Faisal Margalla City (FMC)/ B-17 Islamabad.,"Faisal Margalla City, B-17",4.0,5.0,5.0,27000000.0,5400000.0
Buy Corner 10 Marla House At Highly Affordable Price,"Eighteen, Kashmir Highway",4.0,4.0,10.0,65000000.0,6500000.0
"Two Bed Apartment For Sale In LAMAR TOWER , Main Double Road , E-11/2 Markaz , Islamabad","E-11/2, E-11",2.0,2.0,3.7,21100000.0,5702702.702702702
8 MARLA BRAND NEW HOUSE FOR SALE F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA APPROVED SOCIETY,"F-17, Islamabad",5.0,6.0,8.0,29000000.0,3625000.0
10 MARLA BRAND NEW HOUSE FOR SALE F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA APPROVED SECTOR,"F-17, Islamabad",6.0,6.0,10.0,38000000.0,3800000.0
14 Marla Double Story Available For Sale In G-15,"G-15, Islamabad",6.0,7.0,14.0,48000000.0,3428571.4285714286
Brand New 11 Marla House Available For Sale In F-15 Islamabad,"F-15, Islamabad",6.0,6.0,11.0,45500000.0,4136363.6363636362
Brand New 11 Marla House Available For Sale In F-15 Islamabad,"F-15, Islamabad",6.0,6.0,11.0,45000000.0,4090909.090909091
"Two Bedroom Flat For Sale In Goldcrest Highlife 1 Near Giga Mall, World Trade Center DHA-2 Islamabad","Goldcrest Highlife, DHA Defence Phase 2",2.0,2.0,6.0,12000000.0,2000000.0
"Two Bedroom Flat For Sale In Goldcrest Highlife 3 Near Giga Mall, World Trade Center DHA-2 Islamabad","Goldcrest Highlife, DHA Defence Phase 2",2.0,2.0,3.9,7700000.0,1974358.9743589745
Luxury House For Sale National Police Foundation,"National Police Foundation O-9, Islamabad",6.0,6.0,20.0,58000000.0,2900000.0
DREAM HOUSE FOR SALE,"Soan Garden, Islamabad",6.0,6.0,20.0,70000000.0,3500000.0
Brand New House A Grade Construction Corner House,"CBR Town Phase 1 - Block B, CBR Town Phase 1",4.0,6.0,7.0,37500000.0,5357142.857142857
G-13 1 Kanal Brand new double story Luxury House,"G-13, Islamabad",6.0,7.0,20.0,160000000.0,8000000.0
G-13 25x40 Brand New Double Storey House Available,"G-13, Islamabad",4.0,4.0,4.0,39000000.0,9750000.0
10marla brand new designer house for sale in sector c1,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,6.0,10.0,58000000.0,5800000.0
5 Marla Brand New House Is Available For Sale In Faisal Town Block C F-18 Islamabad,"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",4.0,5.0,5.0,24500000.0,4900000.0
I-14-4 Brand New House For Sale Front Open Luxury House,"I-14/4, I-14",5.0,5.0,6.7,30000000.0,4477611.940298507
Buy A 1200 Square Yards House For Sale In F-6/2,"F-6/2, F-6",5.0,5.0,48.0,600000000.0,12500000.0
Proper Corner With Extra Land House For Sale Jn G9.3,"G-9/3, G-9",6.0,6.0,11.2,125000000.0,11160714.285714287
Fully Furnished Flat for Sale in Karakoram Apartments Diplomatic Enclave Islamabad,"Karakoram Diplomatic Enclave, Islamabad",2.0,3.0,9.0,63000000.0,7000000.0
Flat Available for Sale in Karakoram Apartment Diplomatic Enclave,"Karakoram Diplomatic Enclave, Islamabad",2.0,2.0,7.1,55000000.0,7746478.873239437
Luxury Penthouse Available For Sale In FMC Adj To B-17 Islamabad,"Faisal Margalla City, B-17",4.0,4.0,19.6,37000000.0,1887755.102040816
Two Bedroom Flat Available For Sale In Dha Phase 2 Islamabad.,"Defence Residency, DHA Defence Phase 2",2.0,2.0,5.1,10500000.0,2058823.5294117648
Double Story & ; Brand New House For Sale {LOP+ Completion} Clear From CDA,"Jinnah Gardens Phase 1, Jinnah Gardens",5.0,6.0,7.0,29000000.0,4142857.1428571427
8 Marla Plus 2 Marla Extra Land Beautiful House For Sale In Sector F Bahria Enclave Islamabad,"Bahria Enclave - Sector F, Bahria Enclave",5.0,6.0,8.0,39000000.0,4875000.0
Double Story Livable House Margalla Face,"F-6/3, F-6",6.0,6.0,38.0,480000000.0,12631578.94736842
Sector M 10 Marla Brand New House Sun Facing Elevated And Heighted Location Available For Sale,"Bahria Enclave - Sector M, Bahria Enclave",5.0,5.0,10.0,40000000.0,4000000.0
Sector H 5 Marla Boulevard House Excellent Construction Quality Sun Facing House Available For Sale,"Bahria Enclave - Sector H, Bahria Enclave",3.0,4.0,5.0,25000000.0,5000000.0
G-13 35x70 Brand New Double Story Luxury House For Sale,"G-13, Islamabad",6.0,6.0,10.0,90000000.0,9000000.0
"29x75, Adjacent Mpchs, New Double Unit Designer House On Best Location On Reasonable Price.","E-11/3, E-11",5.0,5.0,9.0,70000000.0,7777777.777777778
"6-Marla 3-Bed Beautifuly Designed House For Sale in H-13, Paris City, Islamabad","H-13, Islamabad",3.0,4.0,6.0,17000000.0,2833333.3333333335
Most Beautiful Designer 1-Kanal House For Sale in Prime Location of DHA-2 Islamabad,"DHA Defence Phase 2, DHA Defence",5.0,6.0,20.0,127500000.0,6375000.0
"Corner House With Basement For Sale In Prime Location Of DHA Phase-1, Islamabad","DHA Phase 1 - Sector C, DHA Defence Phase 1",9.0,7.0,28.0,137000000.0,4892857.142857143
Brand New 5 Marla Villas | 1.5-Year Installments | Prime Block C Location,"Gulberg Residencia - Block C, Gulberg Residencia",4.0,5.0,5.0,27500000.0,5500000.0
Constitution Avenue Luxury 4 Bed Apartment Available For Sale Higher Floor 40% Adjustment Possible,"Constitution Avenue, Islamabad",4.0,5.0,20.0,230000000.0,11500000.0
"Brand New Corner Margalla Facing 3 Bed Flat For Sale 11 Central G-11, Islamabad","11 Central Apartments, G-11/1",3.0,3.0,8.4,57000000.0,6785714.285714285
Investor Deal Brand New Margalla Facing 2 Bed Flat In 11 Central G11 For Sale,"11 Central Apartments, G-11/1",2.0,2.0,6.4,33300000.0,5203125.0
VIP Location Corner Demolishable House in F-6 For Sale,"F-6/1, F-6",5.0,6.0,56.0,650000000.0,11607142.857142856
Double Storey House Available For Sale In PWD Islamabad,"PWD Housing Scheme, Islamabad",5.0,6.0,9.3,35000000.0,3763440.8602150534
"7 Marla Brand New Double Story House for sale in Jinnah Garden Near Expressway , Near Bahria Town, PWD, Police Foundation & Korang Town","Jinnah Gardens Phase 1, Jinnah Gardens",4.0,4.0,7.0,33000000.0,4714285.714285715
Investor Alert 605 Sqyd F7 Prime Location Demolishable House Double Corner Close to F7 Markaz Size 50x90,"F-7, Islamabad",5.0,6.0,24.0,280000000.0,11666666.666666666
"5 Marla House For Sale Sector N, Bahria Enclave Islamabad","Bahria Enclave, Bahria Town",3.0,3.0,5.0,24500000.0,4900000.0
7 Marla Double Storey House For Sale,"E-16/3, E-16",5.0,5.0,8.0,22000000.0,2750000.0
1 Kanal Double Storey,"E-16, Islamabad",8.0,7.0,20.0,39000000.0,1950000.0
Flat For Sale In Karakoram Apartments Diplomatic Enclave Islamabad,"Karakoram Diplomatic Enclave, Islamabad",2.0,2.0,8.5,94000000.0,11058823.529411765
5 Marla House For Sale In Rs. 28000000/- Only,"Bahria Enclave, Bahria Town",3.0,4.0,5.0,28000000.0,5600000.0
10 Marla Beautiful Spanish Villa Is Available For Sale In Dha Phase 05 Emaar Islamabad,"DHA Defence Phase 5, DHA Defence",5.0,7.0,10.0,52500000.0,5250000.0
9.5 Marla House For Sale In B-17 Islamabad Block C-1,"MPCHS - Multi Gardens, B-17",9.0,7.0,9.0,44500000.0,4944444.444444444
70ft Road Short Corner House,"I-10/1, I-10",4.0,3.0,5.0,35000000.0,7000000.0
50 Ft Road Near Class 3 Shopping Center,"I-10/1, I-10",5.0,4.0,6.0,48000000.0,8000000.0
E-11 9 Bedroom 9 Bathroom 3 Storey House 40*90 400 Yard Marble Flooring Livable House,"E-11, Islamabad",9.0,,16.0,110000000.0,6875000.0
1 Kanal Double Unit 6 Bed House At Very Reasonable Price,"DHA Defence Phase 2, DHA Defence",6.0,6.0,20.0,95000000.0,4750000.0
Sector B 10 Marla Brand New House Excellent Construction Quality Margalla Facing Available For Sale,"Bahria Enclave - Sector B2, Bahria Enclave",5.0,6.0,10.0,49000000.0,4900000.0
Brand New House For SaleJannah Garden Islamabad,"Jinnah Gardens Phase 1, Jinnah Gardens",6.0,6.0,7.0,35000000.0,5000000.0
F 10 (800) Sq Yd House For Sale,"F-10, Islamabad",7.0,7.0,32.0,300000000.0,9375000.0
Beautiful Brand New Double Storey House For Sale,"Pakistan Town - Phase 1, Pakistan Town",4.0,5.0,5.0,26000000.0,5200000.0
1 Kanal House For Sale In Naval Anchorage Islamabad Block F,"Naval Anchorage - Block F, Naval Anchorage",4.0,4.0,20.0,59000000.0,2950000.0
"One Kanal Luxury Villa Sector G, DHA Phase 2, Islamabad","DHA Defence, Islamabad",,,20.0,92500000.0,4625000.0
Soild Construction Brand New 25X40 House For Sale With 4 Bedroom Attached Washroom In G-13 Islamabad,"G-13, Islamabad",4.0,4.0,4.0,39000000.0,9750000.0
Brand New Luxury Solid Constructed 25X40 House For Sale In G-13 Islamabad,"G-13, Islamabad",4.0,4.0,4.0,39500000.0,9875000.0
Investor Alert F7 600 Syd Brand New house 3unit 3d/d 3tvl 3kitchen 9 bed room 2sqtr,"F-7, Islamabad",9.0,7.0,24.0,450000000.0,18750000.0
Brand New Spanish Style Double Storey House Available For Sale In Soan Garden Islamabad,"Soan Garden, Islamabad",7.0,7.0,10.0,42500000.0,4250000.0
Investor Alert Prime Location 500 Sqyd House Nearly f7 and near to Margalla road,"F-7, Islamabad",5.0,6.0,20.0,300000000.0,15000000.0
F7 Investor Alert 1166.66 SQY House Available for Sale.,"F-7, Islamabad",5.0,6.0,46.0,550000000.0,11956521.739130436
Dha2 One kanal Designer House Prime location of Dha2,"DHA Defence Phase 2, DHA Defence",5.0,6.0,20.0,139000000.0,6950000.0
Dha Phase 2 One Kanal Owner Built Designer House Prime Location Of Dha Phase 2,"DHA Defence Phase 2, DHA Defence",6.0,6.0,20.0,105000000.0,5250000.0
Reserve A House Now In Bahria Enclave - Sector A,"Bahria Enclave - Sector A, Bahria Enclave",5.0,6.0,12.0,73000000.0,6083333.333333333
Full House for Sale in E-11 Islamabad,"E-11, Islamabad",6.0,7.0,16.0,125000000.0,7812500.0
Investor Rate 8 Bedrooms Urgent SALE 500 SQYD House F-7,"F-7, Islamabad",8.0,7.0,20.0,285000000.0,14250000.0
1166 SQYD Good Livable House Is For Sale,"F-7, Islamabad",6.0,6.0,46.0,550000000.0,11956521.739130436
"1 Kanal Beautiful House For Sale DHA Phase 2, Islamabad","DHA Defence Phase 2, DHA Defence",5.0,6.0,20.0,137000000.0,6850000.0
5 Marla Fully Furnished House Is Available For Sale In Dha Phase 3 Sector A Islamabad,"DHA Phase 3 - Block A, DHA Defence Phase 3",3.0,3.0,5.0,34000000.0,6800000.0
"I Am Selling Apartment On Installments 1.5 Years In Gulberg Greens , Posession Will Be Hand Over In 2 Year , Bes Future Invesment In Gulberg In Appartment .","Gulberg Greens - Block E, Gulberg Greens",1.0,1.0,3.6,9000000.0,2500000.0
Beautiful House For Sale In PARK VIEW CITY,"Park View - Block B, Park View City",4.0,6.0,5.0,30000000.0,6000000.0
8 Marla Double Story CORNER House For Sale,"DHA Valley - Oleander Sector, DHA Valley",3.0,3.0,8.0,17000000.0,2125000.0
Beautiful House for sale.,"DHA Defence Phase 2, DHA Defence",6.0,6.0,20.0,95000000.0,4750000.0
The Galleria 3 Bed Luxury Category Apartment Semi Furnished 2458 Square Feet Sun Facing Available For Sale,"The Galleria, Bahria Enclave",3.0,4.0,10.9,21000000.0,1926605.504587156
Sector N 2 Bed Apartment 850 Square Feet On 2nd Floor Sun Facing Available For Sale,"Bahria Enclave - Sector N, Bahria Enclave",2.0,3.0,3.8,8300000.0,2184210.5263157897
10 Marla ( 30*70 ) Brand New Double Unit House. Available For Sale In Margalla View Co-Operative Housing Society. MVCHS D-17 Sector D D-17/2 Islamabad.,"Margalla View Housing Society, D-17",6.0,6.0,10.0,39000000.0,3900000.0
1 Kanal ( 50*90 ) Proper Corner with Basement House. Available For Sale In Margalla View Co-Operative Housing Society. MVCHS D-17 Islamabad.,"Margalla View Housing Society, D-17",8.0,6.0,20.0,58500000.0,2925000.0
3 Bed Apartment Available For Sale In Paradise Mention D-17,"Margalla View Housing Society, D-17",3.0,3.0,6.8,8500000.0,1250000.0
8 Marla Best Location Triple Storey House Is Available For Sale In A Block Of Faisal Town Phase 1 Islamabad,"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",10.0,6.0,8.0,40500000.0,5062500.0
Corner One Bed Luxury Full Furnish Flat Available For Sale,"E-11/4, E-11",,1.0,3.3,10000000.0,3030303.0303030303
One Kanal Brand New Designer House Prime Location Of Dha 2,"DHA Defence Phase 2, DHA Defence",5.0,6.0,20.0,119000000.0,5950000.0
Dha2 One kanal Brand new Luxurious Designer House,"DHA Defence Phase 2, DHA Defence",5.0,6.0,20.0,115000000.0,5750000.0
Dha 2 One Kanal Brand New Designer House,"DHA Defence Phase 2, DHA Defence",6.0,6.0,20.0,109000000.0,5450000.0
