Title,Price,Location,Beds,Baths,Area
5 Marla Brand New House For Sale In Mumtaz City,2.3 Crore,"Mumtaz City - Chanab Block, Mumtaz City",4,6,5 Marla
"5 Marla Brand New House for Sale in Multi Gardens B-17 (MPCHS), Islamabad",2.8 Crore,"MPCHS - Multi Gardens, B-17",5,5,5 Marla
Beautiful Prime Location Double Unit House For Sale In F Block Mpchs Multi Garden B-17 Islamabad,2.39 Crore,"MPCHS - Multi Gardens, B-17",4,5,5 Marla
8 Marla Luxurious Corner House For Sale In Multi Garden B17 Islamabad,3.2 Crore,"MPCHS - Block E, MPCHS - Multi Gardens",5,5,8 Marla
"Prime 10 Marla Designer House For Sale In Multi Garden B-17, Islamabad MPCHS",4.7 Crore,"MPCHS - Multi Gardens, B-17",6,6,10 Marla
1 Kanal Double Storey House For Sale,6.5 Crore,"National Police Foundation O-9, Islamabad",6,6,1 Kanal
F-8/1 House For Sale Sized 511 Square Yards,32.5 Crore,"F-8/1, F-8",7,N/A,1 Kanal
1960 Square Feet Flat For Sale In Sukh Chayn Residence Islamabad In Only Rs. 85000000,8.5 Crore,"Sukh Chayn Residence, F-10",3,3,8.7 Marla
1 -Kanal Used House Available In Soan Garden Block-E,5.8 Crore,"Soan Garden - Block E, Soan Garden",8,7,1 Kanal
7 -Marla Double Story House Is Available In Soan Garden Block-H,2.3 Crore,"Soan Garden - Block H, Soan Garden",4,4,7 Marla
One Kanal Brand New House Is Available For In DHA Defence Phase 2,10.8 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Brand New House For Sale Block-D Gulshan-E-Sehat E-18 Islamabad,2.35 Crore,"Gulshan-e-Sehat 1, E-18",5,6,8 Marla
PHA Apartment C Type For Sale in Sector I-11/1 Islamabad,90 Lakh,"I-11/1, I-11",2,2,4.6 Marla
3 Bedroom Apartment For Sale In Askari Tower 4 Dha 5,2.6 Crore,"Askari Tower 4, DHA Defence Phase 5",3,4,11 Marla
2kanal Gray structure for sale in sector C,16 Crore,"Bahria Enclave - Sector C, Bahria Enclave",9,6,2 Kanal
"4 Marla Double-Story House for Sale | Scenic Views | Aryan Enclave, Bani Gala",1.45 Crore,"Bani Gala, Islamabad",5,5,4 Marla
Conventional Style : 1 kanal Brand New House Ready For Sale In DHA DEFENCE PHASE 2,11.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Exclusive Address 1 Kanal Aesthetically Build Designer House Ready For Sale In DHA DEFENCE PHASE 2,11.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
7 Marla Brand New Double Storey House For Sale,3.4 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5,6,7 Marla
Brand New Spanish Design House For Sale,5.5 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",6,7,14 Marla
"Beautiful 9 Marla Pillar Style House For Sale in I-10/4, Islamabad",6.4 Crore,"I-10/4, I-10",5,5,9 Marla
NORA Residences 2 Bedroom Flat For Sale | 1040 Sq Feet.,1.05 Crore,"DHA Phase 3 - Block E, DHA Defence Phase 3",2,2,4.6 Marla
Avail Yourself A Great On Excellent Location 10 Marla House In D-12,11.8 Crore,"D-12, Islamabad",6,6,10 Marla
A Spacious On Excellent Location 14 Marla House In D-12,15 Crore,"D-12, Islamabad",7,6,14 Marla
On Excellent Location 14 Marla House For sale Available In D-12,13.5 Crore,"D-12, Islamabad",7,6,14 Marla
On Excellent Location House Available For sale In D-12,28.5 Crore,"D-12, Islamabad",8,6,1 Kanal
Beautiful View Corner Double Floor Apartment For Sale At Very Reasonable Price In Centaurus Islamabad.,18.5 Crore,"The Centaurus, F-8",4,4,1 Kanal
F9 Park Facing 3 Bedrooms Apartment On Investor Rate Available For Sale In Sukh Chyn F10.,8.45 Crore,"Sukh Chayn Residence, F-10",3,3,8.7 Marla
Brand New Double Storey Spanish House For Sale In Bani Gala Near To Market Durrani Street,2.9 Crore,"Bani Gala, Islamabad",4,6,7 Marla
2 Bed 900 Sq/Ft Flat Available For Sale In Capital Residencia E11 Main Margalla Road,1.45 Crore,"Capital Residencia, Margalla Hills-2",2,2,4 Marla
F-10 Silver Oaks Apartment,6.5 Crore,"Silver Oaks Apartments, F-10",3,3,7.8 Marla
Luxury 2 Bed Apartment Is Available For Sale In Rs. 17000000,1.7 Crore,"Madina Tower, E-11",2,3,6.2 Marla
Book Flat Today In Defence Residency,1.15 Crore,"Defence Residency, DHA Defence Phase 2",2,2,5.1 Marla
35/70 House for sale G13/1 islamabad,7.25 Crore,"G-13/1, G-13",6,6,10 Marla
Good Location Brand New House For Sale In Mumtaz City Islamabad,2.3 Crore,"Mumtaz City, Islamabad",5,6,5 Marla
"LUXURY VILLA FOR SALE IN  AIRPORT ENCLAVE  , (INSTALLMENTS ALSO POSSIBLE)",2.2 Crore,"Airport Enclave, Islamabad",3,4,5 Marla
2 Bed Apartment For Sale,63 Lakh,"G-15, Islamabad",2,2,2.7 Marla
2 Bed Apartment For Sale,1.15 Crore,"G-15/4, G-15",2,2,7.3 Marla
PARKVIEW LUXURY | 1-BED APARTMENT | PARKVIEW CITY DOWNTOWN BLOCK (INSTALLMENT AVAILABLE),1.46 Crore,"Park View City - Downtown Block, Park View City",1,1,2.7 Marla
2 Bedroom Flat For Sale In Lignum Tower,1.5 Crore,"Lignum Tower, DHA Defence Phase 2",2,2,6.3 Marla
2 Bedroom Apartment For Sale In Defence Executive,1.7 Crore,"Defence Executive Apartments, DHA Defence Phase 2",2,2,6.8 Marla
Beautiful Owner Build House for Sale,3.5 Crore,"Tarlai, Islamabad",5,6,7 Marla
Pre-Owned 1 Kanal Double Gate Corner House Available For Sale In DHA DEFENCE PHASE 2,8.7 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Gulberg Residencia Islamabad 7M Brand New Double Unit House Available for Sale,3.5 Crore,"Gulberg Residencia - Block L, Gulberg Residencia",3,3,7 Marla
Gulberg Residencia Block J 01 kanal Brand New Double Unit House Available for Sale,13 Crore,"Gulberg Residencia - Block J, Gulberg Residencia",5,6,1 Kanal
Gulberg Residencia Islamabad 7m Brand New Double Unit House Available For Sale,3.5 Crore,"Gulberg Residencia - Block L, Gulberg Residencia",4,4,7 Marla
BEAUTIFUL LOCATION BRAND NEW HOUSE FOR SALE,5.35 Crore,"D-12, Islamabad",4,4,5 Marla
BEAUTIFUL LOCATION CORNER HOUSE FOR SALE,4.5 Crore,"D-12/3, D-12",3,3,4 Marla
BEAUTIFUL LOCATION END CORNER HOUSE FOR SALE,4.5 Crore,"D-12/3, D-12",3,3,4 Marla
10 Marla Brand New Sun-face House For Sale In Topcity-1 Islamabad,4.4 Crore,"Top City 1 - Block A, Top City 1",5,7,10 Marla
10 Marla Brand New House For Sale In Topcity-1,3.5 Crore,"Top City 1 - Block D, Top City 1",4,5,10 Marla
One Bedroom Apartment For Sale,52 Lakh,"E-11/4, E-11",1,1,2.9 Marla
Multi gardens B17 A Block 1 Kanal House is available for sale,9 Crore,"MPCHS - Block A, MPCHS - Multi Gardens",6,7,1 Kanal
Luxurious Duplex Corner Most Specious Of Contours Apartment Available,19 Crore,"The Centaurus, F-8",4,5,1 Kanal
"5 MARLA LUXURY HOUSE FOR SALE IN B-17, ISLAMABAD",2.4 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",4,5,5 Marla
Modern 2-Bed Apartment At Cube Apartments Bahria Enclave - Your Ultimate Haven With Luxe Amenities,1.6 Crore,"Cube Apartments, Bahria Enclave",2,2,6.9 Marla
Sector G 8 Marla Double Unit house for sale in Bahria enclave lslamabad,3.3 Crore,"Bahria Enclave - Sector G, Bahria Enclave",5,6,8 Marla
Brand New Designer House for Sale Sector C-1 5 bedroom with attach bath Extreme Top Location Bahria Enclave Islamabad,4.75 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
8 Marla Double Story Service Road House For Sale,3.7 Crore,"G-15/2, G-15",4,5,8 Marla
2 Bedroom Apartment For Sale Zarkoon Heights Ground Floor,1.65 Crore,"Zarkon Heights, G-15",2,2,5.1 Marla
1 Kanal brand New dubble story for sale G15/2 Islamabad,7.8 Crore,"G-15/2, G-15",8,6,1 Kanal
30x60 Double Story House For Sale,6.5 Crore,"G-13 Markaz, G-13",5,6,7 Marla
30x60 House for Sale | G-11/1 Islamabad | Basement + 2 Storey,6.8 Crore,"G-11/1, G-11",4,4,8 Marla
Gulberg Residencia Islamabad 5m Brand New Double Unit House Available for Sale,2.75 Crore,"Gulberg Residencia - Block C, Gulberg Residencia",4,4,5 Marla
A+ Construction House 60 Feet Road Corner,2.8 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",4,6,5 Marla
Kanal Brand New Luxurious House For Sale,9.6 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
5 Marla Corner House For Sale,1.45 Crore,"Bani Gala, Islamabad",3,4,5 Marla
Corner 5 Marla Single Story,1.3 Crore,"Bani Gala, Islamabad",2,3,5 Marla
Luxurious 3-Bed Apartment for Sale in Askari Tower 3 DHA 5,3.05 Crore,"Askari Tower 3, DHA Defence Phase 5",3,N/A,11.8 Marla
1 Kanal House Near Islamabad Expressway,8.25 Crore,"DHA Phase 5 - Sector B, DHA Defence Phase 5",5,6,1 Kanal
Dha 2 One Kanal Brand New Designer House Prime Location Of Dha2,13.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Fully Furnished Newly Renovated 3 Bedroom Apartment For Sale In Diplomatic Enclave Islamabad,5.5 Crore,"Diplomatic Enclave, Islamabad",3,3,7.1 Marla
Diplomatic enclaves Luxurious 3-Bedroom Fully Furnished Corner Apartment for Sale in Karakoram Diplomatic Enclave,13.25 Crore,"Karakoram Diplomatic Enclave, Islamabad",3,4,11.8 Marla
"Diplomatic enclave : Prime Investment Opportunity Fully Furnished 2-Bed Apartment in Diplomatic Enclave, Islamabad",7.6 Crore,"Diplomatic Enclave, Islamabad",2,2,8.9 Marla
"Luxury 2-Bedroom Apartment For Sale In Diplomatic Enclave, Islamabad",6 Crore,"Diplomatic Enclave, Islamabad",2,2,7.6 Marla
Fully Renovated House For Sale In F-6/1,31 Crore,"F-6, Islamabad",6,6,17.8 Marla
One Bedroom Furnished Apartment Murree Facing Ready For Possession Apartments Available,55 Lakh,"Bahria Enclave - Sector G, Bahria Enclave",1,1,1.6 Marla
Affordable 1 Bedroom Apartment For Sale In Bahria Enclave Islamabad 477 Square Feet Prime Location,70 Lakh,"Bahria Enclave - Sector G, Bahria Enclave",1,1,2.1 Marla
G-13 35x70 Brand New Double Story Luxury House,9 Crore,"G-13, Islamabad",6,6,10 Marla
One Bed Apartment In Gulberg Greens Islamabad,73.5 Lakh,"Gulberg Greens, Gulberg",1,1,1.9 Marla
7 Marla House For Sale,3.5 Crore,"Faisal Town - F-18, Islamabad",5,6,8 Marla
Brand New Designer House For Sale,12.5 Crore,"DHA Phase 2 - Sector G, DHA Defence Phase 2",5,6,1 Kanal
1 Kanal Designer House For Sale At Peak Location In DHA-2,8.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
Designer+Corner House Available for sale in Multi Garden B-17 Islamabad,5.7 Crore,"MPCHS - Block C1, MPCHS - Multi Gardens",5,5,10 Marla
23 Kanal Farm House Available For Sale,28 Crore,"Naval Farms Housing Scheme, Islamabad",7,6,23 Kanal
G-11/3 Warda Hamna 3 3 Bed Apartment Available For Sale,4.9 Crore,"Warda Hamna Residencia 3, G-11/3",3,3,8.9 Marla
"Brand New 3 Bed Apartment Available For Sale In The Heart Of Islamabad, All Facilities Available",8.9 Crore,"Sukh Chayn Residence, F-10",3,3,9 Marla
Sector B1 New House Bahria Enclave,4.1 Crore,"Bahria Enclave, Bahria Town",5,6,8 Marla
1 Kanal Furnished House 5 Bedrooms For Sale At DHA Phase 2,11.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
7 Bedroom House Available For Sale In DHA Phase 1 Sector E,8 Crore,"DHA Phase 1 - Sector E, DHA Defence Phase 1",7,6,1 Kanal
1 KANAL 5 BEDROOM HOUSE AVAILABLE FOR SALE,10.4 Crore,"DHA Defence Phase 1, DHA Defence",5,6,1 Kanal
7 Marla Double Storey Brand New House For Sale G15.4 Islamabad,3.5 Crore,"G-15/4, G-15",5,6,7 Marla
Prime Location 10marla 5bedrooms Brand New House For Sale In Bahria Enclave Islamabad Sector C1,5.65 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,5,10 Marla
Outstanding Location 10marla 5bedrooms Brand New House For Sale In Bahria Enclave Islamabad Sector C1,5.9 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,5,10 Marla
The Galleria 3bedrooms Diamond Category Apartment Available For Sale in Bahria Enclave Islamabad,2.2 Crore,"Bahria Enclave, Bahria Town",3,3,10.9 Marla
Top City 10 Marla House For Sale,4.15 Crore,"Top City 1, Islamabad",5,7,10 Marla
"Fully Furnished 1Bed Apartment 2nd Floor, Doha Emporium FMC Plaza, FaisalMargallaCity (adjacent to B17), Islamabad",70 Lakh,"MPCHS - Multi Gardens, B-17",1,1,2.1 Marla
Single Story House For Sale on Reasonable Price. . .,65 Lakh,"H-13, Islamabad",2,2,3 Marla
Fully Furnished Flat for Sale in The Centaurus Islamabad,10 Crore,"The Centaurus, F-8",2,4,9 Marla
2 Bed 1195 Square Feet Corner Flat For Sale In NORA Residence,1.11 Crore,"NORA Residences, GT Road",2,2,5.3 Marla
Corner 1 Kanal Furnished House Near Islamabad Expressway,10.75 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Prime Location 4 Marla House For sale In Rs. 39000000 Only,3.9 Crore,"G-14/4, G-14",4,5,4 Marla
Corner House,17.5 Crore,"G-9/3, G-9",7,6,14 Marla
Defense Villa For Sale,3.8 Crore,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",3,4,11 Marla
Beautiful House for Sale,12.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
"G-13/4 70 FeeT Road Brand New 500 Yards Architect Design Double Story House 6 Master Bedrooms Attached Stylish Bathrooms Two Drawing Dining Two TV Lounge Two American Style Kitchen , Store Two Servant Quarter HUGE LUSH GREEN LAWN With EXTRA LAND Reasonable Price",16.5 Crore,"G-13, Islamabad",7,7,1 Kanal
"8 Marla House For Sale In Multi Gardens B-17, MPCHS Islamabad",2.5 Crore,"MPCHS - Multi Gardens, B-17",5,6,8 Marla
House For Sale Reasonable Price G-13/3 Islamabad,5.7 Crore,"G-13/3, G-13",5,6,7 Marla
Gulberg Green 10 Kanal Corner Fully Develop And Constructed Farm House,75 Crore,"Gulberg, Islamabad",8,6,10 Kanal
Ideal House For sale In G-9/3,8 Crore,"G-9/3, G-9",7,4,10 Marla
Prime Location 1 Kanal House Available For Sale In DHA Phase 2 - Sector H,12.5 Crore,"DHA Phase 2 - Sector H, DHA Defence Phase 2",6,6,1 Kanal
"Beautiful Corner 2 Bed Flat CDA Approved , Gas Installed",52 Lakh,"D-17, Islamabad",2,2,3.8 Marla
Boulevad Catagory 8 Marla Brand New Park Face Ready to Move Home Available For Sale,1.55 Crore,"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",3,3,8 Marla
E-7 ULTRA MODERN DESIGN HOUSE,72 Crore,"E-7, Islamabad",6,6,1.6 Kanal
F-8/3 Demolish Able House For Sale,30 Crore,"F-8, Islamabad",4,N/A,1.8 Kanal
Fully Furnished House For Sale,48 Crore,"F-7, Islamabad",6,6,1.3 Kanal
400 Square Yards House In F-6,36 Crore,"F-6, Islamabad",9,6,16 Marla
F-8 Brand New House For Sale,66 Crore,"F-8, Islamabad",6,N/A,1.8 Kanal
E-7 House For Sale Demolish Able House,70 Crore,"E-7, Islamabad",4,5,1.9 Kanal
Luxury House For Sale In F6 On Prime Location,2 Arab,"F-6, Islamabad",9,N/A,4.6 Kanal
10 Marla House For Sale University Town Islamabad,3.2 Crore,"University Town, Islamabad",5,5,10 Marla
House For Sale In Sector C-1 Best Location For Living 5 Bedroom With Attach Bath Near To Main Entrance Bahria Enclave Islamabad,4.4 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
Prime Location House Available For Sale In F8,60 Crore,"F-8, Islamabad",8,N/A,3.6 Kanal
B-17 II 5 Marla Luxury House II For Sale,2.5 Crore,"B-17, Islamabad",5,5,5 Marla
FMC II 5 Marla Luxury House II For Sale II Best Location Near to MDR,2.4 Crore,"Faisal Margalla City, B-17",4,4,5 Marla
B-17 II 10 Marla Luxury House II For Sale II Best Location Near to MDR,6 Crore,"B-17, Islamabad",5,5,10 Marla
7 Marla Used House For Sale In F-17 Islamabad,2.1 Crore,"F-17, Islamabad",5,6,7 Marla
Apartments For Sale On Prime Location,1.5 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",2,2,4.7 Marla
FRONT /BACK OPEN 9 Marla HOUSE AVAILABLE FOR SALE,4.25 Crore,"Bahria Enclave - Sector C3, Bahria Enclave",4,5,9 Marla
7 Marla House For Sale In Rs. 33000000 Only,3.3 Crore,"Jinnah Gardens, FECHS",5,6,7 Marla
"CORNER. Farm House Gulberg Greens, Islamabad Fully Furnished With All Furniture, Appliances",1.25 Arab,"Gulberg Greens, Gulberg",10,6,10 Kanal
"MALL OF ISLAMABAD (1874 Sq. Ft) 18th ,Floor Ready For Position",8.5 Crore,"Mall of Islamabad, Blue Area",2,3,8.3 Marla
Brand New House For Sale In Top City-1 Islamabad,3.85 Crore,"Top City 1 - Block A, Top City 1",5,6,10 Marla
BRAND NEW HOUSE FOR SALE IN F-11/2,32 Crore,"F-11, Islamabad",9,7,1.2 Kanal
"2 BEDROOM FLAT FOR SALE IN G-15 MARKAZ, ISLAMABAD.",60 Lakh,"G-15 Markaz, G-15",2,2,2.7 Marla
One Bed Apartment In Sector A Urban Boulevard For Sale At Reasonable Price,58 Lakh,"Bahria Enclave, Bahria Town",1,1,2.4 Marla
Spacious 1 Bed Room Apartment For Sale In Bahria Enclave Sector C1,75 Lakh,"Bahria Enclave - Sector C1, Bahria Enclave",1,1,2.2 Marla
Sector A Brand New One Bed Apartment For Sale In Bahria Enclave Islamabad,62 Lakh,"Bahria Enclave - Sector A, Bahria Enclave",1,1,2.2 Marla
Luxurious Brand New House For Sale On prime location,1.2 Arab,"F-6, Islamabad",7,6,2 Kanal
Luxurious Brand New House For Sale In F7 On Prime Location,1.8 Arab,"F-7, Islamabad",7,6,4 Kanal
F-6/2 House For Sale On Prime Location,1.2 Arab,"F-6/2, F-6",4,5,4 Kanal
House For Sale In F-7/2,81 Crore,"F-7, Islamabad",4,5,3.6 Kanal
F-7/3 House For Sale Prime Location,40 Crore,"F-7/3, F-7",4,N/A,1.4 Kanal
Apartment For Sale In Mall Of Islamabad,12 Crore,"Mall of Islamabad, Blue Area",2,3,10.6 Marla
Brand New Luxury House For Sale In F-7 On Prime Location,55 Crore,"F-7, Islamabad",7,6,1.3 Kanal
Multi Gardens F Block 5 Marla Homes Brand New For Sale In B 17 Islamabad,2.15 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",5,5,5 Marla
House For sale In Islamabad,4.2 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
Prime Location 14 Marla House For Grabs In I-8,16.5 Crore,"I-8/3, I-8",6,6,14 Marla
Become Owner Of Your Prime Location House Today Which Is Centrally Located In Top City 1 In Top City 1,4.99 Crore,"Top City 1, Islamabad",5,6,10 Marla
Brand New Beautiful House,5.15 Crore,"Top City 1, Islamabad",4,6,10 Marla
"Luxury Semi Furnished , Ready to move in 10 Marla Villa with extra land In Eighteen Available",6.2 Crore,"Eighteen, Kashmir Highway",4,5,10 Marla
F-11/4 Dead End Street Storey House For Sale,17 Crore,"F-11/4, F-11",5,6,1 Kanal
Buy A Centrally Located Prime Location 10 Marla House In B-17,5.2 Crore,"B-17, Islamabad",5,5,10 Marla
F-11 Investor Price 2 Bed Apartment Available For Sale,3.15 Crore,"Executive Heights, F-11",2,2,5.8 Marla
Farm House Available For Sale,26.5 Crore,"Sehala Farm House, Islamabad",7,3,88 Kanal
New House For Sale Top City 1,8 Crore,"Top City 1 - Block B, Top City 1",9,6,1 Kanal
10 Marla Park Face Brand New House For Sale In Top City-1 Islamabad,4 Crore,"Top City 1 - Block D, Top City 1",6,6,10 Marla
35X70 Brand New House For Sale,9.1 Crore,"G-13, Islamabad",7,6,10 Marla
