Title,Price,Location,Beds,Baths,Area
Beautiful 10 Marla Park Facing House for Sale in Bahria Enclave Sector C2 Islamabad,6 Crore,"Bahria Enclave - Sector C2, Bahria Enclave",5,6,10 Marla
Gulbarg Residential 7 Marla Double Storey Brand New House,4.3 Crore,"Gulberg Residencia - Block F, Gulberg Residencia",4,5,7 Marla
Brand New House For Sale,3 Crore,"Soan Garden, Islamabad",5,6,8 Marla
Brand New House For Sale,2.9 Crore,"Soan Garden, Islamabad",5,6,7 Marla
Corner House For Sale,1.75 Crore,"Soan Garden, Islamabad",5,4,3 Marla
Multi Gardens F Block 5 Marla Homes Design Home For Sale In B17 Islamabad,2.3 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",5,5,5 Marla
1-Bedroom Apartment | 3rd Floor | Excellent Investment Opportunity | Zarkon Heights Islamabad,1 Crore,"Zarkon Heights, G-15",1,1,2.8 Marla
Dha2 1.5 kanal Brand new Luxurious Designer Full furnished House,18 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1.5 Kanal
"2-Bedroom Apartment For Sale In G-15 Markaz, Islamabad 572 Sq. Ft.",52 Lakh,"G-15 Markaz, G-15",2,2,2.5 Marla
14 Marla Double Unit House For Sale In G-15/1 Islamabad Prime Location,5.5 Crore,"G-15/1, G-15",6,6,14 Marla
"HOT PROPERTY IN ISLAMABAD, PAKISTAN",67 Lakh,"G-15 Markaz, G-15",2,2,2.7 Marla
YOUR DREAM HOME,7.25 Crore,"Soan Garden - Block B, Soan Garden",8,6,1 Kanal
National Police Foundation Block C USE HOUSE FOR SALE,4 Crore,"National Police Foundation O-9 - Block C, National Police Foundation O-9",6,6,14 Marla
666 sq/yds House For Sale,36 Crore,"F-7, Islamabad",6,6,1.3 Kanal
Main Boulevard 2 Kanal House For Sale,53 Crore,"F-7/2, F-7",5,6,2 Kanal
3200 Square Feet House For sale In Rs. 93000000 Only,9.3 Crore,"G-9/3, G-9",N/A,N/A,14.2 Marla
Reserve A House Of 666 Square Yards Now In F-10/2,18 Crore,"F-10/2, F-10",N/A,N/A,1.3 Kanal
Diplomatic Enclave Two Bed Fully Furnished Apartment Available For Sale In Islamabad,7.55 Crore,"Diplomatic Enclave, Islamabad",2,3,8.9 Marla
AN OUTSTANDING APARTMENT AVAILABLE FOR SALE IN E-11 ISLAMABAD,85 Lakh,"E-11, Islamabad",1,1,2.2 Marla
F-11 Markaz 2 Bedroom Luxury Furnished Apartment Available For Sale,2.8 Crore,"F-11, Islamabad",2,2,9.4 Marla
5 Marla Modern Design Single Unit Double Storey House Available For Sale In Faisal Margalla City (FMC)/ B-17 Islamabad.,2.7 Crore,"Faisal Margalla City, B-17",4,5,5 Marla
Buy Corner 10 Marla House At Highly Affordable Price,6.5 Crore,"Eighteen, Kashmir Highway",4,4,10 Marla
"Two Bed Apartment For Sale In LAMAR TOWER , Main Double Road , E-11/2 Markaz , Islamabad",2.11 Crore,"E-11/2, E-11",2,2,3.7 Marla
8 MARLA BRAND NEW HOUSE FOR SALE F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA APPROVED SOCIETY,2.9 Crore,"F-17, Islamabad",5,6,8 Marla
10 MARLA BRAND NEW HOUSE FOR SALE F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA APPROVED SECTOR,3.8 Crore,"F-17, Islamabad",6,6,10 Marla
14 Marla Double Story Available For Sale In G-15,4.8 Crore,"G-15, Islamabad",6,7,14 Marla
Brand New 11 Marla House Available For Sale In F-15 Islamabad,4.55 Crore,"F-15, Islamabad",6,6,11 Marla
Brand New 11 Marla House Available For Sale In F-15 Islamabad,4.5 Crore,"F-15, Islamabad",6,6,11 Marla
"Two Bedroom Flat For Sale In Goldcrest Highlife 1 Near Giga Mall, World Trade Center DHA-2 Islamabad",1.2 Crore,"Goldcrest Highlife, DHA Defence Phase 2",2,2,6 Marla
"Two Bedroom Flat For Sale In Goldcrest Highlife 3 Near Giga Mall, World Trade Center DHA-2 Islamabad",77 Lakh,"Goldcrest Highlife, DHA Defence Phase 2",2,2,3.9 Marla
Luxury House For Sale National Police Foundation,5.8 Crore,"National Police Foundation O-9, Islamabad",6,6,1 Kanal
DREAM HOUSE FOR SALE,7 Crore,"Soan Garden, Islamabad",6,6,1 Kanal
Brand New House A Grade Construction Corner House,3.75 Crore,"CBR Town Phase 1 - Block B, CBR Town Phase 1",4,6,7 Marla
G-13 1 Kanal Brand new double story Luxury House,16 Crore,"G-13, Islamabad",6,7,1 Kanal
G-13 25x40 Brand New Double Storey House Available,3.9 Crore,"G-13, Islamabad",4,4,4 Marla
10marla brand new designer house for sale in sector c1,5.8 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
5 Marla Brand New House Is Available For Sale In Faisal Town Block C F-18 Islamabad,2.45 Crore,"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",4,5,5 Marla
I-14-4 Brand New House For Sale Front Open Luxury House,3 Crore,"I-14/4, I-14",5,5,6.7 Marla
Buy A 1200 Square Yards House For Sale In F-6/2,60 Crore,"F-6/2, F-6",5,5,2.4 Kanal
Proper Corner With Extra Land House For Sale Jn G9.3,12.5 Crore,"G-9/3, G-9",6,6,11.2 Marla
Fully Furnished Flat for Sale in Karakoram Apartments Diplomatic Enclave Islamabad,6.3 Crore,"Karakoram Diplomatic Enclave, Islamabad",2,3,9 Marla
House for Sale in F-7 Islamabad,1.2 Arab,"F-7, Islamabad",9,7,4 Kanal
Flat Available for Sale in Karakoram Apartment Diplomatic Enclave,5.5 Crore,"Karakoram Diplomatic Enclave, Islamabad",2,2,7.1 Marla
Luxury Penthouse Available For Sale In FMC Adj To B-17 Islamabad,3.7 Crore,"Faisal Margalla City, B-17",4,4,19.6 Marla
Two Bedroom Flat Available For Sale In Dha Phase 2 Islamabad.,1.05 Crore,"Defence Residency, DHA Defence Phase 2",2,2,5.1 Marla
Double Story & ; Brand New House For Sale {LOP+ Completion} Clear From CDA,2.9 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5,6,7 Marla
8 Marla Plus 2 Marla Extra Land Beautiful House For Sale In Sector F Bahria Enclave Islamabad,3.9 Crore,"Bahria Enclave - Sector F, Bahria Enclave",5,6,8 Marla
Double Story Livable House Margalla Face,48 Crore,"F-6/3, F-6",6,6,1.9 Kanal
Sector M 10 Marla Brand New House Sun Facing Elevated And Heighted Location Available For Sale,4 Crore,"Bahria Enclave - Sector M, Bahria Enclave",5,5,10 Marla
Sector H 5 Marla Boulevard House Excellent Construction Quality Sun Facing House Available For Sale,2.5 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,4,5 Marla
G-13 35x70 Brand New Double Story Luxury House For Sale,9 Crore,"G-13, Islamabad",6,6,10 Marla
"29x75, Adjacent Mpchs, New Double Unit Designer House On Best Location On Reasonable Price.",7 Crore,"E-11/3, E-11",5,5,9 Marla
"6-Marla 3-Bed Beautifuly Designed House For Sale in H-13, Paris City, Islamabad",1.7 Crore,"H-13, Islamabad",3,4,6 Marla
Most Beautiful Designer 1-Kanal House For Sale in Prime Location of DHA-2 Islamabad,12.75 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
"Corner House With Basement For Sale In Prime Location Of DHA Phase-1, Islamabad",13.7 Crore,"DHA Phase 1 - Sector C, DHA Defence Phase 1",9,7,1.4 Kanal
Brand New 5 Marla Villas | 1.5-Year Installments | Prime Block C Location,2.75 Crore,"Gulberg Residencia - Block C, Gulberg Residencia",4,5,5 Marla
Constitution Avenue Luxury 4 Bed Apartment Available For Sale Higher Floor 40% Adjustment Possible,23 Crore,"Constitution Avenue, Islamabad",4,5,1 Kanal
"Brand New Corner Margalla Facing 3 Bed Flat For Sale 11 Central G-11, Islamabad",5.7 Crore,"11 Central Apartments, G-11/1",3,3,8.4 Marla
Investor Deal Brand New Margalla Facing 2 Bed Flat In 11 Central G11 For Sale,3.33 Crore,"11 Central Apartments, G-11/1",2,2,6.4 Marla
VIP Location Corner Demolishable House in F-6 For Sale,65 Crore,"F-6/1, F-6",5,6,2.8 Kanal
Double Storey House Available For Sale In PWD Islamabad,3.5 Crore,"PWD Housing Scheme, Islamabad",5,6,9.3 Marla
"7 Marla Brand New Double Story House for sale in Jinnah Garden Near Expressway , Near Bahria Town, PWD, Police Foundation & Korang Town",3.3 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",4,4,7 Marla
Investor Alert 605 Sqyd F7 Prime Location Demolishable House Double Corner Close to F7 Markaz Size 50x90,28 Crore,"F-7, Islamabad",5,6,1.2 Kanal
"5 Marla House For Sale Sector N, Bahria Enclave Islamabad",2.45 Crore,"Bahria Enclave, Bahria Town",3,3,5 Marla
7 Marla Double Storey House For Sale,2.2 Crore,"E-16/3, E-16",5,5,8 Marla
1 Kanal Double Storey,3.9 Crore,"E-16, Islamabad",8,7,1 Kanal
Flat For Sale In Karakoram Apartments Diplomatic Enclave Islamabad,9.4 Crore,"Karakoram Diplomatic Enclave, Islamabad",2,2,8.5 Marla
5 Marla House For Sale In Rs. 28000000/- Only,2.8 Crore,"Bahria Enclave, Bahria Town",3,4,5 Marla
10 Marla Beautiful Spanish Villa Is Available For Sale In Dha Phase 05 Emaar Islamabad,5.25 Crore,"DHA Defence Phase 5, DHA Defence",5,7,10 Marla
9.5 Marla House For Sale In B-17 Islamabad Block C-1,4.45 Crore,"MPCHS - Multi Gardens, B-17",9,7,9 Marla
70ft Road Short Corner House,3.5 Crore,"I-10/1, I-10",4,3,5 Marla
50 Ft Road Near Class 3 Shopping Center,4.8 Crore,"I-10/1, I-10",5,4,6 Marla
E-11 9 Bedroom 9 Bathroom 3 Storey House 40*90 400 Yard Marble Flooring Livable House,11 Crore,"E-11, Islamabad",9,N/A,16 Marla
1 Kanal Double Unit 6 Bed House At Very Reasonable Price,9.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Sector B 10 Marla Brand New House Excellent Construction Quality Margalla Facing Available For Sale,4.9 Crore,"Bahria Enclave - Sector B2, Bahria Enclave",5,6,10 Marla
Brand New House For SaleJannah Garden Islamabad,3.5 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",6,6,7 Marla
F 10 (800) Sq Yd House For Sale,30 Crore,"F-10, Islamabad",7,7,1.6 Kanal
Beautiful Brand New Double Storey House For Sale,2.6 Crore,"Pakistan Town - Phase 1, Pakistan Town",4,5,5 Marla
1 Kanal House For Sale In Naval Anchorage Islamabad Block F,5.9 Crore,"Naval Anchorage - Block F, Naval Anchorage",4,4,1 Kanal
"One Kanal Luxury Villa Sector G, DHA Phase 2, Islamabad",9.25 Crore,"DHA Defence, Islamabad",N/A,N/A,1 Kanal
Soild Construction Brand New 25X40 House For Sale With 4 Bedroom Attached Washroom In G-13 Islamabad,3.9 Crore,"G-13, Islamabad",4,4,4 Marla
Brand New Luxury Solid Constructed 25X40 House For Sale In G-13 Islamabad,3.95 Crore,"G-13, Islamabad",4,4,4 Marla
Investor Alert F7 600 Syd Brand New house 3unit 3d/d 3tvl 3kitchen 9 bed room 2sqtr,45 Crore,"F-7, Islamabad",9,7,1.2 Kanal
Brand New Spanish Style Double Storey House Available For Sale In Soan Garden Islamabad,4.25 Crore,"Soan Garden, Islamabad",7,7,10 Marla
Investor Alert Prime Location 500 Sqyd House Nearly f7 and near to Margalla road,30 Crore,"F-7, Islamabad",5,6,1 Kanal
F7 Investor Alert 1166.66 SQY House Available for Sale.,55 Crore,"F-7, Islamabad",5,6,2.3 Kanal
Dha2 One kanal Designer House Prime location of Dha2,13.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Dha Phase 2 One Kanal Owner Built Designer House Prime Location Of Dha Phase 2,10.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Reserve A House Now In Bahria Enclave - Sector A,7.3 Crore,"Bahria Enclave - Sector A, Bahria Enclave",5,6,12 Marla
Full House for Sale in E-11 Islamabad,12.5 Crore,"E-11, Islamabad",6,7,16 Marla
Investor Rate 8 Bedrooms Urgent SALE 500 SQYD House F-7,28.5 Crore,"F-7, Islamabad",8,7,1 Kanal
1166 SQYD Good Livable House Is For Sale,55 Crore,"F-7, Islamabad",6,6,2.3 Kanal
"1 Kanal Beautiful House For Sale DHA Phase 2, Islamabad",13.7 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
5 Marla Fully Furnished House Is Available For Sale In Dha Phase 3 Sector A Islamabad,3.4 Crore,"DHA Phase 3 - Block A, DHA Defence Phase 3",3,3,5 Marla
"I Am Selling Apartment On Installments 1.5 Years In Gulberg Greens , Posession Will Be Hand Over In 2 Year , Bes Future Invesment In Gulberg In Appartment .",90 Lakh,"Gulberg Greens - Block E, Gulberg Greens",1,1,3.6 Marla
Beautiful House For Sale In PARK VIEW CITY,3 Crore,"Park View - Block B, Park View City",4,6,5 Marla
8 Marla Double Story CORNER House For Sale,1.7 Crore,"DHA Valley - Oleander Sector, DHA Valley",3,3,8 Marla
Beautiful House for sale.,9.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
The Galleria 3 Bed Luxury Category Apartment Semi Furnished 2458 Square Feet Sun Facing Available For Sale,2.1 Crore,"The Galleria, Bahria Enclave",3,4,10.9 Marla
Sector N 2 Bed Apartment 850 Square Feet On 2nd Floor Sun Facing Available For Sale,83 Lakh,"Bahria Enclave - Sector N, Bahria Enclave",2,3,3.8 Marla
10 Marla ( 30*70 ) Brand New Double Unit House. Available For Sale In Margalla View Co-Operative Housing Society. MVCHS D-17 Sector D D-17/2 Islamabad.,3.9 Crore,"Margalla View Housing Society, D-17",6,6,10 Marla
1 Kanal ( 50*90 ) Proper Corner with Basement House. Available For Sale In Margalla View Co-Operative Housing Society. MVCHS D-17 Islamabad.,5.85 Crore,"Margalla View Housing Society, D-17",8,6,1 Kanal
3 Bed Apartment Available For Sale In Paradise Mention D-17,85 Lakh,"Margalla View Housing Society, D-17",3,3,6.8 Marla
8 Marla Best Location Triple Storey House Is Available For Sale In A Block Of Faisal Town Phase 1 Islamabad,4.05 Crore,"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",10,6,8 Marla
Corner One Bed Luxury Full Furnish Flat Available For Sale,1 Crore,"E-11/4, E-11",N/A,1,3.3 Marla
One Kanal Brand New Designer House Prime Location Of Dha 2,11.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Dha2 One kanal Brand new Luxurious Designer House,11.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Dha 2 One Kanal Brand New Designer House,10.9 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Investor Alert F-6 2000 Syd Spanish Designed House for Sale,1.3 Arab,"F-6, Islamabad",8,7,4 Kanal
Park View City Islamabad Overseas Block 5 Marla House On Installments,2.3 Crore,"Park View City - Overseas Block, Park View City",4,5,5 Marla
Park View City H Block 5 Marla Fully Furnished Vallas,2.9 Crore,"Park View - Block H, Park View City",4,5,5 Marla
Park view city Islamabad A Block 5 Marla Vallas Available,2.8 Crore,"Park View - Block A, Park View City",4,4,5 Marla
Luxury Furnished Apartment For Sale,60 Lakh,"G-15 Markaz, G-15",2,2,3.6 Marla
ONE KANAL BEAUTIFUL DESIGNER HOUSE WITH MODREN FRONT ELEVATION FOR SALE IN DHA PHASE 2 ISLAMABAD,12 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Ready To Buy A Flat In F-17,1.2 Crore,"F-17, Islamabad",2,2,4.2 Marla
Triple Storey Proper Basement New House For Sale In G10 2,12.5 Crore,"G-10/2, G-10",8,6,12 Marla
Designer House Faisal Town Block A Size 30*60 : A+ Construction Street No 28 House No 696 Short Corner,3.6 Crore,"Faisal Town - F-18, Islamabad",6,6,8 Marla
2 BHK Apartment For Sale At NORA Residences Islamabad On 3 Year Easy Installment Plan,1.11 Crore,"DHA Defence Phase 2, DHA Defence",2,2,5.3 Marla
Beautiful New House For Sale,11.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
THIS BEAUTIFUL APARTMENT IS FOR SALE IN E-11 ISLAMABAD,75 Lakh,"E-11, Islamabad",1,1,2.2 Marla
8 Marla Corner House For Sale,3.4 Crore,"Faisal Town - F-18, Islamabad",5,5,8 Marla
Gulberg Green Brand New Fully Furnished Farm House,1.25 Arab,"Gulberg Greens, Gulberg",8,6,10 Kanal
Two Bed Flat For Sale Corner Plaza,94.5 Lakh,"Faisal Hills - Block A, Faisal Hills",2,2,3.4 Marla
Mall Of Islamabad 1 Bed Possession Able Apartment 1202 Square Feet On 14th Floor Sun Facing And Saudi Pak Tower Facing Available For Sale,6.5 Crore,"Mall of Islamabad, Blue Area",1,2,5.3 Marla
Mall of Islamabad 2 Bed Possessionable Apartment 1874 Square Feet on 17th Floor Sunfacing and Ufone Tower Facing Available for Sale,8.8 Crore,"Mall of Islamabad, Blue Area",2,3,8.3 Marla
Brand New House For Sale,2.8 Crore,"I-11/2, I-11",3,3,4 Marla
Brand New House 8 Marla Soan Garden,3.65 Crore,"Soan Garden - Block B, Soan Garden",6,6,8 Marla
10 Marla House Available For Sale,6.5 Crore,"G-13, Islamabad",5,5,10 Marla
8 Marla Single Storey Solid Gray Structure Near Imran Khan Chowk,1.55 Crore,"Bani Gala, Islamabad",3,4,8 Marla
14 Marla 40x80 Park Face Brand New House For Sale In G-13. Prime Location!,12.5 Crore,"G-13, Islamabad",8,6,14 Marla
Park View City Islamabad H Block 5 Marla Brand New Valla,3.5 Crore,"Park View - Block H, Park View City",4,6,5 Marla
Luxury Apartment For Sale In Heart Of Islamabad,35 Lakh,"G-15 Markaz, G-15",1,1,1.6 Marla
Shahzad Town 8 Marla House On Main Road Excellent Construction Quality Back Open Sun Facing House For Sale,5 Crore,"Shehzad Town, Islamabad",6,6,8 Marla
Luxury Apartment For Sale,1.5 Crore,"Zarkon Heights, G-15",2,2,5.5 Marla
Amazing 1 Kanal House Near Central Park In DHA-2 Islamabad,11.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Bahria Enclave 2 Bed Cube Apartment 1558 Sq Feet Possession Utility Circulation Charges Paid On Murree Facing Available For Sale,1.45 Crore,"Cube Apartments, Bahria Enclave",2,3,6.9 Marla
Luxury 1-Bed Apartment | Smama Star Mall & Residency Ideal Investment Opportunity,1.1 Crore,"Smama Star Mall & Residency, Gulberg Greens",1,1,2.4 Marla
House For Sale 40x80,5 Crore,"G-15 Markaz, G-15",6,6,14 Marla
A Good Option For sale Is The House Available In Eighteen In Islamabad,11 Crore,"Eighteen, Kashmir Highway",N/A,N/A,1 Kanal
Dha 5 34 Marla Brand New Full Furnished House Prime Location Of Dha2,22 Crore,"DHA Phase 5 - Sector A, DHA Defence Phase 5",6,6,1.7 Kanal
Nora Residencies 1 Bed Apartment For Sale,87.61 Lakh,"NORA Residences, GT Road",1,1,4.2 Marla
"Stylish 2 BHK Apartment For Sale At Nora Residences, Islamabad On 3 Year Easy Installment",1.17 Crore,"DHA Defence Phase 2, DHA Defence",2,2,5.5 Marla
Cda Sector I-10/1 House For Sale Park Face,4 Crore,"I-10/1, I-10",4,4,5 Marla
Prime Location A Centrally Located House Is Available For sale In Islamabad,10.5 Crore,"G-13/2, G-13",6,6,14 Marla
Two Bed Flat In Islamabad,78 Lakh,"Defence Residency, DHA Defence Phase 2",2,2,3.6 Marla
"Stylish 3-Bedroom Apartment For Sale In Overseas Block 16, DHA Phase 2 By Gulf Properties",1.35 Crore,"Al-Ghurair Giga - Block 16, Al-Ghurair Giga",3,3,5.1 Marla
2 Bed Room Apartment with 2 Balcony :Veiw Apartment Available For Sale investor Rate,1.1 Crore,"Gulberg Greens, Gulberg",2,2,3.5 Marla
DHA Phase 1 Sector F Defence Villas For Sale,3.6 Crore,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",3,4,11 Marla
Dha2 One kanal Brand new Designer House,10.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
One Kanal Luxury House For Sale In DHA DEFENCE PHASE 2. ISLAMABAD,13.7 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
"10 MARLA (35X70) HOUSE FOR SALE G-13 , ISLAMABAD",8.3 Crore,"G-13, Islamabad",6,6,10 Marla
50x90 Triple Storey Used House For Sale Proper Corner Wide 70ft In Front & Side Street Wide 50 Ideal Location in The House Reasonable Price!,16 Crore,"G-13/4, G-13",9,6,1 Kanal
1 Kanal Brand New House For Sale 3 Storey 9 Bed 3 Unit Corner Spanish House 20 Marla Extra Land. Not Paid 15 Kv Solar Dha Phase 2 Sector E Islamabad,16.5 Crore,"DHA Phase 2 - Sector E, DHA Defence Phase 2",9,6,1 Kanal
10 Marla Brand New Modern House For Sale In Dha Phase 2 Islamabad,7.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,10 Marla
6.5 Marla Houses For Sale. 6.5 Marla House For Sale 4 Bedroom 2 Tv Lounge 3 Kitchen Location Imran Khan Chowk,2.5 Crore,"Bani Gala, Islamabad",4,5,6 Marla
Amazing 1 Kanal House Near Islamabad Expressway,10.25 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
Triple Storey Corner 1 Kanal 9 Bed House In DHA Islamabad,14 Crore,"DHA Defence Phase 2, DHA Defence",9,7,1 Kanal
Investor Alert F6 700 Syd 42x160 Best Location,31 Crore,"F-6, Islamabad",6,7,1.4 Kanal
3 Bedroom'S Margala View Apartment For Sale In Askari Tower 3 Islamabad,3.6 Crore,"DHA Defence Phase 5, DHA Defence",3,4,11.6 Marla
Bahria Enclave 1 Bed Cube Apartment 1058 Square Feet Possession Utility Circulation Charges Paid Surfacing Available For Sale,1 Crore,"Cube Apartments, Bahria Enclave",1,2,4.7 Marla
Top Location 1 Kanal Near Central Park Designer House For Sale,11.85 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
Top Of The Line Top Designer House For Sale,13.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
Garden City  Zone 4 West House For Sale,16.5 Crore,"Bahria Garden City, Bahria Town",N/A,N/A,3.6 Kanal
14 Marla Investor Price House In I-8 Is Available For Sale,10.75 Crore,"I-8, Islamabad",6,6,14 Marla
Newly Build Flat For Sale In Bahria Enclave,1.6 Crore,"Bahria Enclave, Bahria Town",2,2,6.4 Marla
2150 Square Feet Flat For Sale In Bahria Enclave,2.7 Crore,"Bahria Enclave, Bahria Town",3,3,9.6 Marla
Brand New Furnished Home with 5000 USD Is For SALE,34.5 Crore,"F-6, Islamabad",5,6,1.1 Kanal
Livable Good Condition 400 Square Yard House Is For Sale,20.5 Crore,"F-6, Islamabad",5,6,16 Marla
House For Sale G9/1 Islamabad,5 Crore,"G-9/1, G-9",4,4,6.7 Marla
10 MARLA DESIGNER HOUSE FOR SALE,3.8 Crore,"Top City 1, Islamabad",5,7,10 Marla
Single Bed Main Civic Corner Mdr,47.23 Lakh,"Faisal Hills - Block A, Faisal Hills",1,1,1.7 Marla
HOUSE FOR SALE F-10,18 Crore,"F-10, Islamabad",4,4,1 Kanal
30x60 Brand New Sun Face Luxurious Beautiful House Available for Sale in G-13 Islamabad On Main 50fit Rod on Front,6.7 Crore,"G-13, Islamabad",5,6,8 Marla
Luxurious 1 Kanal House For Sale In DHA Defence Phase 2 Islamabad,15 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
3rd Floor D-Type Apartment PHA G 10 /2 Available For Sale,1.65 Crore,"G-10/2, G-10",2,2,4 Marla
Like Brand New 7 Marla House For Sale In G13,5 Crore,"G-13, Islamabad",7,6,7 Marla
2 Bed Apartment Is Available For Sale In Park View City Islamabad,2.8 Crore,"Park View City - Downtown Block, Park View City",2,2,5 Marla
Flat Of 497 Square Feet In Park View City - Downtown Block Is Available,1.5 Crore,"Park View City - Downtown Block, Park View City",1,1,2.2 Marla
DHA 2 Islamabad 1 Kanal Full House Available For Sale,7.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
G11/1 25*50 Very Beautiful House For Sale,5 Crore,"G-11/1, G-11",4,4,5.5 Marla
Brand New Elegant House Available For sale Murre View Near to park,2.45 Crore,"Bahria Enclave, Bahria Town",3,4,5 Marla
1 Bed Apartment For Sale In B17 Islamabad On Easy Installment,70.74 Lakh,"B-17, Islamabad",1,1,2.5 Marla
Park Tower 3 Beds Apartment For Sale,3.85 Crore,"F-10 Markaz, F-10",3,3,7.6 Marla
Investor Alert F-6 600 Syd 60*90 House 5Bed Rooms attached bathroom Drawing Dining Rooms Powder room TV Lounge Full Basement Hall 1 Master Bedroom room CDA transfer Corner Available For Sale,35 Crore,"F-6, Islamabad",5,6,1.2 Kanal
Multi Gardens Capital Square Apartment 1125 Square Feet 2 Bed Apartment Available For Sale B 17 Islamabad,88 Lakh,"MPCHS - Multi Gardens, B-17",2,2,5 Marla
Multi Gardens Capital SQ 2 bed Apartments 1050 SQ feet For Sale in B17 Islamabad,80 Lakh,"MPCHS - Block B, MPCHS - Multi Gardens",2,2,4.7 Marla
1Bed Apartment For Sale On Easy Installment Plan On The Main Location Of B17 Islamabad,50.8 Lakh,"Faisal Margalla City, B-17",1,1,1.8 Marla
House For Sale,2.5 Crore,"Bani Gala, Islamabad",3,3,10 Marla
Buy A 1200 Square Yards House For Sale In F-6/2,61 Crore,"F-6/2, F-6",5,5,2.4 Kanal
8 Marla Front Open House For Sale In G11.3,6.85 Crore,"G-11/3, G-11",6,6,8 Marla
Studio Available for Easy Installment Plan,21 Lakh,"E-16/3, E-16",N/A,1,1 Marla
"I-8/2, 35X80 Double Storey House For Sale Sun Facing",10.85 Crore,"I-8/2, I-8",5,5,12.4 Marla
cda sector i-10/1 street no -65 house 150 series,2.6 Crore,"I-10/1, I-10",3,3,4 Marla
1 KANAAL LUXURY HOUSE BRAND NEW,13.9 Crore,"G-13, Islamabad",6,6,1 Kanal
"G-13 Brand New 500 Yds Architect Design Double Story House 6 Master Bedrooms Attached Stylish Bathrooms Two Drawing Dining Two TV Lounge Two American Style Kitchen With Dirty Kitchen , Store Two Sqtr Reasonable Price",16.9 Crore,"G-13, Islamabad",8,7,1 Kanal
One kanal Useable Tripple Unit house is Available for sale in Dha Phase 02 Islamabad,7.5 Crore,"DHA Defence Phase 2, DHA Defence",9,7,1 Kanal
Brand New House For Sale,2.5 Crore,"Bani Gala, Islamabad",6,6,6 Marla
"F-11/2: Brand New 9-Bedroom Fully-Furnished House - New 666 Yards, Full Basement, Price 30 Crores",30 Crore,"F-11/2, F-11",9,7,1.3 Kanal
Reserve A Centrally Located Prime Location House Of 4 Marla In D-12,4.35 Crore,"D-12, Islamabad",4,4,4 Marla
Contemporary Design 1 BHK Prime Location On Flexible Payment Plan,87.61 Lakh,"DHA Valley, DHA Defence",1,1,4.2 Marla
Ultra Luxury Kanal Brand New Furnished House For Sale In Dha Phase 2 Islamabad,12.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
F10/1 511syd Beautiful Renovated Fully furnished House For Sale,17.5 Crore,"F-10/1, F-10",9,6,1 Kanal
G13/3 Brand New 1 Kanal Designer House Available For Sale,17 Crore,"G-13/3, G-13",3,3,1 Kanal
11 Marla Defence Villa Available For Sale,3.8 Crore,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",3,4,11 Marla
1 Kanal Single Storey House For Sale In Gulshan E Sehat. In E-18 Block F Islamabad.,3.25 Crore,"Gulshan-e-Sehat 1, E-18",3,4,1 Kanal
"Luxurious 1 Kanal House For Sale In DHA Defence Phase 2, Islamabad!",13.7 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
